"Genomic_Loci","Gene_Name","Gene_Orientation","Gene_Width_(kb)","Obs_TDN_Products","Obs_Patients","Num_Sites_TDN","Num_Sites_Patients","Peak_Abund_TDN","Peak_Abund_Patients","Peak_RelAbund_TDN","Peak_RelAbund_Patients","Longitudinal_Count","Last_Timepoint","Abund_Gini","On_Onco_List","Within_Cluster","Cluster_target.min","Freq_TDN_Sites","Freq_Patient_Sites","Freq_Difference","Percent_Freq_Change","Enrichment","Depletion","Abundance","Longitudinal","Criteria"
"chr16+67029146:67101055","'CBFB","+",81.91,94,51,302,207,3,14,0.398,2.857,3,120,0.297,TRUE,TRUE,5.47835580391232,9.55644878958099e-06,1.46137127550549e-05,5.05726396547386e-06,52.9,TRUE,FALSE,FALSE,TRUE,"EL"
"chr17-78674046:78782342","'CYTH1","-",118.297,101,51,479,163,4,21,0.488,5.412,2,1825,0.22,FALSE,FALSE,0,1.04951415933262e-05,7.96784763012748e-06,-2.52729396319869e-06,-24.1,FALSE,TRUE,TRUE,TRUE,"DAL"
"chr1-97077743:97921059","'DPYD","-",853.317,91,51,254,120,4,22,0.488,5.208,4,730,0.374,FALSE,FALSE,0,7.71524707591075e-07,8.13201170998326e-07,4.16764634072507e-08,5.4,FALSE,FALSE,TRUE,TRUE,"AL"
"chr8-144720908:144755585","'ZNF251","-",44.678,82,51,373,159,4,42,0.203,3.947,2,2372,0.301,FALSE,FALSE,0,2.16392212749017e-05,2.05792976031477e-05,-1.05992367175406e-06,-4.9,FALSE,FALSE,TRUE,TRUE,"AL"
"chr13-73686011:74133929","'KLF12","-",457.919,85,50,234,131,3,14,0.488,10.853,3,540,0.289,FALSE,FALSE,0,1.3245053400373e-06,1.65428289457113e-06,3.29777554533826e-07,24.9,TRUE,FALSE,FALSE,TRUE,"EL"
"chr19+47130822:47210636","'SAE1","+",89.815,85,50,270,138,5,22,0.996,5,3,360,0.259,FALSE,FALSE,0,7.79186482647503e-06,8.88499851002277e-06,1.09313368354774e-06,14,FALSE,FALSE,TRUE,TRUE,"AL"
"chr6+42564021:42693505","'UBR2","+",139.485,98,50,337,134,6,22,0.279,6.322,2,1825,0.253,FALSE,FALSE,0,6.26222855170624e-06,5.5552606258016e-06,-7.06967925904644e-07,-11.3,FALSE,FALSE,TRUE,TRUE,"AL"
"chr4-150264658:151015497","'LRBA","-",760.84,86,49,228,131,2,17,0.369,14.286,3,180,0.227,TRUE,FALSE,0,7.76726334542946e-07,9.95646349822718e-07,2.18920015279771e-07,28.2,TRUE,FALSE,FALSE,TRUE,"EL"
"chr17+59707464:59842255","'VMP1","+",144.792,89,48,367,102,3,28,0.358,11.111,3,2920,0.402,FALSE,FALSE,0,6.56973749716264e-06,4.07364098905921e-06,-2.49609650810343e-06,-38,FALSE,TRUE,TRUE,TRUE,"DAL"
"chr3+141487046:141615363","'RASA2","+",138.318,76,47,155,97,2,7,0.369,1.316,2,1642,0.19,FALSE,TRUE,0.740351590023202,2.9045544166188e-06,4.05527379012972e-06,1.15071937351091e-06,39.6,TRUE,FALSE,FALSE,TRUE,"EL"
"chr20+44966473:45079977","'STK4","+",123.505,89,47,257,132,5,23,0.334,10.811,3,450,0.269,TRUE,TRUE,1.67776263258817,5.39355489350987e-06,6.18039935222101e-06,7.86844458711147e-07,14.6,FALSE,FALSE,TRUE,TRUE,"AL"
"chr17-4004444:4142959","'ZZEF1","-",148.516,101,47,389,172,4,69,0.372,43.125,19,2555,0.427,FALSE,FALSE,0,6.788954177344e-06,6.69703163210462e-06,-9.19225452393815e-08,-1.4,FALSE,FALSE,TRUE,TRUE,"AL"
"chr22-38483437:38506340","'DDX17","-",32.904,74,46,181,107,3,5,0.488,1.042,2,1825,0.173,FALSE,TRUE,3.70476168981954,1.42579273745355e-05,1.88045189664649e-05,4.54659159192934e-06,31.9,TRUE,FALSE,FALSE,TRUE,"EL"
"chr3+188153872:188890671","'LPP","+",746.8,79,46,158,107,2,11,0.174,3.846,2,270,0.265,TRUE,FALSE,0,5.48377083574347e-07,8.28526904221426e-07,2.80149820647078e-07,51.1,TRUE,FALSE,FALSE,TRUE,"EL"
"chr16+22437007:22492220","'SMG1P1","+",65.214,64,46,103,86,2,3,0.488,4.348,2,960,0.032,FALSE,TRUE,0.0114041605402699,4.09376496964155e-06,7.62578855670293e-06,3.53202358706138e-06,86.3,TRUE,FALSE,FALSE,TRUE,"EL"
"chr11+108222831:108369099","'ATM","+",156.269,76,45,183,108,4,7,0.554,2.857,3,270,0.188,TRUE,FALSE,0,3.03532204814783e-06,3.99648391728046e-06,9.61161869132635e-07,31.7,TRUE,FALSE,FALSE,TRUE,"EL"
"chrX+44873174:45112612","'KDM6A","+",249.439,68,45,149,133,5,14,0.261,7.143,6,180,0.303,TRUE,TRUE,1.15978965214612,1.54827617720963e-06,3.08329040443955e-06,1.53501422722991e-06,99.1,TRUE,FALSE,FALSE,TRUE,"EL"
"chr7+10973871:11169623","'PHF14","+",205.753,75,45,157,104,3,5,0.153,22.222,3,180,0.179,FALSE,FALSE,0,1.97778917735428e-06,2.92290237557528e-06,9.45113198221004e-07,47.8,TRUE,FALSE,FALSE,TRUE,"EL"
"chr6-78934418:79078298","'PHIP","-",153.881,68,44,131,97,3,6,0.21,8.824,2,540,0.189,TRUE,TRUE,2.82866564800282,2.20654513600989e-06,3.64513721709089e-06,1.438592081081e-06,65.2,TRUE,FALSE,FALSE,TRUE,"EL"
"chr4-101023429:101347471","'PPP3CA","-",334.043,68,44,159,106,6,6,0.153,7.692,3,180,0.178,FALSE,FALSE,0,1.23373324817006e-06,1.83497705048638e-06,6.01243802316321e-07,48.7,TRUE,FALSE,FALSE,TRUE,"EL"
"chr8-144772223:144787345","'ZNF34","-",25.123,94,44,302,131,11,24,1.667,24.211,2,801,0.433,FALSE,FALSE,0,3.11574541398153e-05,3.0152751215982e-05,-1.00470292383323e-06,-3.2,FALSE,FALSE,TRUE,TRUE,"AL"
"chr12+28190426:28550166","'CCDC91","+",369.741,75,43,158,93,3,5,0.173,2.874,3,120,0.197,FALSE,FALSE,0,1.10760777412654e-06,1.45449584253681e-06,3.46888068410267e-07,31.3,TRUE,FALSE,FALSE,TRUE,"EL"
"chr17-75318075:75405709","'GRB2","-",97.635,97,43,304,148,6,42,0.556,4.412,3,450,0.305,TRUE,FALSE,0,8.07039093731627e-06,8.76563397497919e-06,6.95243037662921e-07,8.6,FALSE,FALSE,TRUE,TRUE,"AL"
"chr17+29390924:29551903","'TAOK1","+",170.98,94,43,257,103,5,23,0.513,63.889,3,180,0.341,FALSE,FALSE,0,3.89595857482124e-06,3.4835260222529e-06,-4.1243255256834e-07,-10.6,FALSE,FALSE,TRUE,TRUE,"AL"
"chr4+3074680:3243960","'HTT","+",179.281,74,41,166,90,2,25,0.186,33.333,2,270,0.302,FALSE,FALSE,0,2.39993976636957e-06,2.90292215976363e-06,5.02982393394058e-07,21,FALSE,FALSE,TRUE,TRUE,"AL"
"chr7-17790760:17940508","'SNX13","-",159.749,66,41,124,84,3,9,0.177,1.176,3,180,0.232,FALSE,TRUE,4.58254005229822,2.01191698375767e-06,3.04066296842512e-06,1.02874598466745e-06,51.1,TRUE,FALSE,FALSE,TRUE,"EL"
"chr16+30699140:30740129","'SRCAP","+",50.99,77,41,187,90,5,373,0.225,36.533,15,2190,0.796,FALSE,TRUE,1.2409519817088,9.50567834404007e-06,1.02066834227218e-05,7.01005078681713e-07,7.4,FALSE,FALSE,TRUE,TRUE,"AL"
"chr4+26860690:27025381","'STIM2","+",174.692,67,41,127,82,4,4,0.108,1.604,4,180,0.192,FALSE,FALSE,0,1.88433113396004e-06,2.71436334891732e-06,8.30032214957288e-07,44,TRUE,FALSE,FALSE,TRUE,"EL"
"chr13+28138505:28295338","'PAN3","+",166.834,66,40,104,70,2,8,0.369,2.797,3,120,0.26,FALSE,FALSE,0,1.61575421158368e-06,2.42627835924205e-06,8.10524147658366e-07,50.2,TRUE,FALSE,FALSE,TRUE,"EL"
"chr18+41955197:42081482","'PIK3C3","+",136.286,69,40,130,86,3,6,0.174,11.765,3,365,0.203,FALSE,FALSE,0,2.47239938562427e-06,3.64900411588002e-06,1.17660473025575e-06,47.6,TRUE,FALSE,FALSE,TRUE,"EL"
"chr19+797391:812327","'PTBP1","+",24.937,61,40,136,75,3,47,0.383,4.412,3,365,0.474,TRUE,FALSE,0,1.41358270481644e-05,1.73917868937918e-05,3.25595984562744e-06,23,FALSE,FALSE,TRUE,TRUE,"AL"
"chr12+62260339:62409721","'USP15","+",159.383,62,40,134,86,5,14,0.369,2.857,3,360,0.25,TRUE,FALSE,0,2.17916101648093e-06,3.12020839698603e-06,9.41047380505101e-07,43.2,TRUE,FALSE,FALSE,TRUE,"EL"
"chr21+15730024:15880071","'USP25","+",160.048,71,40,169,112,3,10,0.119,1.402,3,3000,0.217,FALSE,FALSE,0,2.7369254815427e-06,4.04664324488441e-06,1.30971776334171e-06,47.9,TRUE,FALSE,FALSE,TRUE,"EL"
"chr2+202635177:202769757","'FAM117B","+",144.581,75,39,179,108,3,6,0.139,1.316,2,180,0.184,FALSE,FALSE,0,3.20898972563077e-06,4.31956166625975e-06,1.11057194062898e-06,34.6,TRUE,FALSE,FALSE,TRUE,"EL"
"chr6+36027676:36111236","'MAPK14","+",93.561,58,39,124,70,2,91,0.238,1.911,3,120,0.593,TRUE,FALSE,0,3.43521046417101e-06,4.32643648299812e-06,8.91226018827114e-07,25.9,FALSE,FALSE,TRUE,TRUE,"AL"
"chr15+41660411:41769943","'MGA","+",119.533,70,39,185,78,4,85,0.174,14.286,6,270,0.567,FALSE,TRUE,3.60940163760139,4.01153355100523e-06,3.77340942970816e-06,-2.38124121297066e-07,-5.9,FALSE,FALSE,TRUE,TRUE,"AL"
"chr12-44508274:44913928","'NELL2","-",415.655,68,39,152,107,3,3,0.383,5,2,180,0.139,FALSE,FALSE,0,9.47844509466834e-07,1.48859966095093e-06,5.40755151484101e-07,57.1,TRUE,FALSE,FALSE,TRUE,"EL"
"chr14+70907404:71115382","'PCNX1","+",217.979,79,39,183,82,3,153,0.111,1.111,3,360,0.71,FALSE,FALSE,0,2.17602035582333e-06,2.17533598259037e-06,-6.84373232961388e-10,0,FALSE,FALSE,TRUE,TRUE,"AL"
"chr17-29625938:29930228","'SSH2","-",314.291,89,39,272,109,5,137,0.256,6.182,5,1095,0.586,FALSE,FALSE,0,2.24317666812015e-06,2.00549553905915e-06,-2.37681129060997e-07,-10.6,FALSE,FALSE,TRUE,TRUE,"AL"
"chr12+14365631:14502935","'ATF7IP","+",147.305,72,38,155,95,3,8,0.488,5.882,3,270,0.261,TRUE,TRUE,0.926311316969668,2.72734909064784e-06,3.72935103159623e-06,1.00200194094839e-06,36.7,TRUE,FALSE,FALSE,TRUE,"EL"
"chr7-152134924:152436005","'KMT2C","-",311.082,65,38,134,81,2,8,0.174,6.667,2,2555,0.224,TRUE,FALSE,0,1.11649410859445e-06,1.50569595461044e-06,3.89201846015988e-07,34.9,TRUE,FALSE,FALSE,TRUE,"EL"
"chr6+45328316:45551082","'RUNX2","+",232.767,58,38,118,81,2,8,0.173,20,2,180,0.262,TRUE,FALSE,0,1.31397504718202e-06,2.01229087006373e-06,6.98315822881711e-07,53.1,TRUE,FALSE,FALSE,TRUE,"EL"
"chr6-43522329:43576075","'XPO5","-",63.747,63,38,128,61,4,26,0.553,2.632,2,548,0.422,FALSE,TRUE,8.08076337179608,5.20447274160187e-06,5.53346581036486e-06,3.28993068762997e-07,6.3,FALSE,FALSE,TRUE,TRUE,"AL"
"chr9+37120471:37358148","'ZCCHC7","+",247.678,64,38,133,84,3,7,0.111,0.775,2,360,0.204,FALSE,FALSE,0,1.39184453558504e-06,1.96118697883116e-06,5.6934244324612e-07,40.9,TRUE,FALSE,FALSE,TRUE,"EL"
"chr1-11106530:11262551","'MTOR","-",166.022,70,37,161,68,4,29,0.208,16,4,2555,0.369,TRUE,FALSE,0,2.51354551944179e-06,2.36848379968864e-06,-1.45061719753151e-07,-5.8,FALSE,FALSE,TRUE,TRUE,"AL"
"chr8+17922856:18029948","'PCM1","+",117.093,70,37,118,89,3,11,0.177,1.238,3,180,0.294,TRUE,TRUE,2.59679964119794,2.61202659260091e-06,4.39527669909938e-06,1.78325010649847e-06,68.3,TRUE,FALSE,FALSE,TRUE,"EL"
"chr22+29883168:30030868","'MTMR3","+",157.701,75,36,192,60,3,261,0.556,8,6,270,0.798,TRUE,FALSE,0,3.15568249908587e-06,2.20010774704275e-06,-9.55574752043121e-07,-30.3,FALSE,TRUE,TRUE,TRUE,"DAL"
"chr5-78002325:78294755","'AP3B1","-",302.431,55,35,86,58,4,5,0.556,11.111,2,2555,0.195,FALSE,FALSE,0,7.37052910722428e-07,1.10899307750366e-06,3.71940166781233e-07,50.5,TRUE,FALSE,FALSE,TRUE,"EL"
"chr5+65926553:66081023","'ERBIN","+",164.471,56,35,100,64,3,7,0.173,9.756,2,270,0.223,FALSE,TRUE,4.90588672629539,1.57593095752297e-06,2.25018273497546e-06,6.74251777452483e-07,42.8,TRUE,FALSE,FALSE,TRUE,"EL"
"chr1-27970343:28088637","'EYA3","-",128.295,64,35,131,80,2,7,0.556,1.163,2,365,0.198,FALSE,FALSE,0,2.64659863653562e-06,3.60584789551569e-06,9.59249258980073e-07,36.2,TRUE,FALSE,FALSE,TRUE,"EL"
"chr10+96832259:96986212","'LCOR","+",163.954,47,35,88,73,2,4,0.153,0.917,2,548,0.178,FALSE,TRUE,6.77561030996958,1.39119233231876e-06,2.57470804845632e-06,1.18351571613756e-06,85.1,TRUE,FALSE,FALSE,TRUE,"EL"
"chr6+63635801:63715522","'PHF3","+",89.722,57,35,94,78,2,7,0.173,100,3,150,0.129,FALSE,TRUE,0.831246535651851,2.71553514281754e-06,5.02716111278511e-06,2.31162596996757e-06,85.1,TRUE,FALSE,FALSE,TRUE,"EL"
"chr18-20949741:21111851","'ROCK1","-",172.111,64,35,110,76,2,13,0.177,2.762,4,180,0.375,FALSE,TRUE,8.35356455568348,1.6565729939762e-06,2.55347794718191e-06,8.96904953205716e-07,54.1,TRUE,FALSE,FALSE,TRUE,"EL"
"chr17-64544616:64662268","'SMURF2","-",127.653,77,35,186,72,5,27,0.488,2.239,2,270,0.388,FALSE,FALSE,0,3.77666478153632e-06,3.26158437466935e-06,-5.15080406866965e-07,-13.6,FALSE,FALSE,TRUE,TRUE,"AL"
"chr17+60677774:61392838","'BCAS3","+",725.065,62,34,119,54,2,80,0.398,40.201,4,180,0.609,TRUE,FALSE,0,4.2539907347971e-07,4.30669350519954e-07,5.27027704024401e-09,1.2,FALSE,FALSE,TRUE,TRUE,"AL"
"chr5-93617724:94111699","'FAM172A","-",503.976,53,34,97,63,2,10,0.488,2.439,2,1642,0.245,FALSE,FALSE,0,4.98871161125368e-07,7.22866071811373e-07,2.23994910686005e-07,44.9,TRUE,FALSE,FALSE,TRUE,"EL"
"chr4-15004941:15427914","'LOC101929095","-",432.974,45,34,79,58,3,14,0.104,1.515,3,270,0.259,FALSE,FALSE,0,4.72924478159569e-07,7.7462823500374e-07,3.01703756844171e-07,63.8,TRUE,FALSE,FALSE,TRUE,"EL"
"chr17-61942604:62065282","'MED13","-",132.679,64,34,171,71,5,21,0.556,2.479,6,450,0.369,FALSE,FALSE,0,3.34056895424477e-06,3.09444883502836e-06,-2.46120119216412e-07,-7.4,FALSE,FALSE,TRUE,TRUE,"AL"
"chr20-35703608:35742336","'RBM39","-",48.729,51,34,102,64,4,5,0.358,4,5,540,0.208,TRUE,FALSE,0,5.42549281382865e-06,7.59485736633521e-06,2.16936455250656e-06,40,TRUE,FALSE,FALSE,TRUE,"EL"
"chr6-88609896:88963629","'RNGTT","-",363.734,57,34,88,60,2,5,0.138,2.778,2,360,0.204,FALSE,FALSE,0,6.27083384157076e-07,9.53881660269288e-07,3.26798276112212e-07,52.1,TRUE,FALSE,FALSE,TRUE,"EL"
"chr22-40824534:40857008","'ST13","-",42.475,70,34,140,67,2,29,0.126,2.273,2,180,0.405,TRUE,FALSE,0,8.54321169442415e-06,9.12154830358959e-06,5.78336609165446e-07,6.8,FALSE,FALSE,TRUE,TRUE,"AL"
"chr12-53507855:53626415","'ATF7","-",128.561,69,33,158,51,3,32,0.369,5.556,3,540,0.492,FALSE,FALSE,0,3.18547620206223e-06,2.29397183472383e-06,-8.91504367338398e-07,-28,FALSE,TRUE,TRUE,TRUE,"DAL"
"chr4-48497362:48780299","'FRYL","-",292.938,72,33,135,69,4,24,0.17,1.639,3,270,0.324,TRUE,FALSE,0,1.19449566015651e-06,1.36207344417197e-06,1.67577784015457e-07,14,FALSE,FALSE,TRUE,TRUE,"AL"
"chr9+137086926:137109187","'MAN1B1","+",32.262,76,33,185,77,3,79,0.238,18.329,3,360,0.632,FALSE,TRUE,0.000471010802286957,1.48630165505024e-05,1.38015093969489e-05,-1.06150715355347e-06,-7.1,FALSE,FALSE,TRUE,TRUE,"AL"
"chr13+32586426:32778020","'PDS5B","+",201.595,53,33,106,75,4,10,0.173,4.04,2,270,0.238,TRUE,TRUE,7.21917418125643,1.36286434160394e-06,2.15133802807851e-06,7.88473686474564e-07,57.9,TRUE,FALSE,FALSE,TRUE,"EL"
"chr22+31496138:31618551","'SFI1","+",132.414,75,33,217,64,6,24,0.353,0.943,3,270,0.356,FALSE,FALSE,0,4.24768544804199e-06,2.79494467808652e-06,-1.45274076995547e-06,-34.2,FALSE,TRUE,TRUE,TRUE,"DAL"
"chr7+27739372:27829767","'TAX1BP1","+",100.396,51,33,92,58,2,11,0.228,5.714,2,270,0.257,FALSE,FALSE,0,2.37518770940655e-06,3.34070964403472e-06,9.65521934628165e-07,40.7,TRUE,FALSE,FALSE,TRUE,"EL"
"chr20+21303283:21389825","'XRN2","+",96.543,41,33,58,51,3,6,0.174,1.389,2,270,0.211,FALSE,FALSE,0,1.55716173620627e-06,3.05475604698353e-06,1.49759431077726e-06,96.2,TRUE,FALSE,FALSE,TRUE,"EL"
"chr6-16299111:16761490","'ATXN1","-",472.38,49,32,72,57,2,4,0.556,1.235,2,548,0.115,FALSE,FALSE,0,3.95064052607282e-07,6.97767120169291e-07,3.02703067562009e-07,76.6,TRUE,FALSE,FALSE,TRUE,"EL"
"chr12-39551219:39620041","'ABCD2","-",78.823,62,31,102,67,5,8,0.173,2.439,3,450,0.222,FALSE,TRUE,8.08076337179608,3.35408242930435e-06,4.91528823052875e-06,1.56120580122441e-06,46.5,TRUE,FALSE,FALSE,TRUE,"EL"
"chr12-96278260:96400588","'CDK17","-",132.329,45,31,81,63,4,5,0.174,1.399,2,540,0.182,FALSE,TRUE,5.47835580391232,1.58656002703078e-06,2.75304091625576e-06,1.16648088922498e-06,73.5,TRUE,FALSE,FALSE,TRUE,"EL"
"chr4+15002673:15070153","'CPEB2","+",77.481,42,31,74,53,3,14,0.104,1.205,3,270,0.275,FALSE,FALSE,0,2.47550052246258e-06,3.95555838770551e-06,1.48005786524293e-06,59.8,TRUE,FALSE,FALSE,TRUE,"EL"
"chr9-123379653:123930138","'DENND1A","-",560.486,43,31,62,43,2,4,0.126,3.226,2,270,0.181,FALSE,FALSE,0,2.86716997604136e-07,4.43640139929298e-07,1.56923142325161e-07,54.7,TRUE,FALSE,FALSE,TRUE,"EL"
"chr6-1623799:2245634","'GMDS","-",631.836,43,31,56,45,7,8,0.211,6.667,3,365,0.238,FALSE,FALSE,0,2.29726015434806e-07,4.11846418789515e-07,1.82120403354709e-07,79.3,TRUE,FALSE,FALSE,TRUE,"EL"
"chr12-49018974:49055324","'KMT2D","-",46.351,48,31,95,80,4,33,0.2,0.829,3,90,0.344,TRUE,TRUE,0.156609025192021,5.3124030439262e-06,9.98063161000163e-06,4.66822856607544e-06,87.9,TRUE,FALSE,TRUE,FALSE,"EA"
