"Genomic_Loci","Gene_Name","Gene_Orientation","Gene_Width_(kb)","Obs_TDN_Products","Obs_Patients","Num_Sites_TDN","Num_Sites_Patients","Peak_Abund_TDN","Peak_Abund_Patients","Peak_RelAbund_TDN","Peak_RelAbund_Patients","Longitudinal_Count","Last_Timepoint","Abund_Gini","On_Onco_List","Within_Cluster","Cluster_target.min","Freq_TDN_Sites","Freq_Patient_Sites","Freq_Difference","Percent_Freq_Change","Enrichment","Depletion","Abundance","Longitudinal","Criteria"
"chr10-63167220:63522075","'JMJD1C","-",364.856,14,12,25,28,3,5,0.001,0.007,2,1095,0.324,FALSE,TRUE,5.28304253313552,0.000000725964753988392,0.00000150777251172576,0.000000781807757737367,107.7,TRUE,FALSE,FALSE,TRUE,"EL"
"chr18+41955197:42081482","'PIK3C3","+",136.286,17,12,25,33,2,5,0.002,0.021,3,360,0.266,FALSE,FALSE,0,0.0000019435055418839,0.00000475731575215803,0.00000281381021027413,144.8,TRUE,FALSE,FALSE,TRUE,"EL"
"chr1+84077974:84238498","'PRKACB","+",170.525,16,12,30,28,2,4,0.001,0.028,2,360,0.211,FALSE,FALSE,0,0.00000186393265232328,0.00000322603634386872,0.00000136210369154545,73.1,TRUE,FALSE,FALSE,TRUE,"EL"
"chr6-43522329:43576075","'XPO5","-",63.747,16,12,37,20,4,26,0.005,0.006,2,548,0.584,FALSE,FALSE,0,0.00000614948848567241,0.00000616409789074907,0.0000000146094050766607,0.2,FALSE,FALSE,TRUE,TRUE,"AL"
"chr1-27970343:28088637","'EYA3","-",128.295,14,11,29,34,2,7,0.005,0.006,2,360,0.252,FALSE,TRUE,2.92873378765636,0.00000239488843435971,0.00000520677089528577,0.00000281188246092606,117.4,TRUE,FALSE,FALSE,TRUE,"EL"
"chr15+68054178:68191466","'PIAS1","+",147.289,13,11,23,24,2,6,0.001,0.167,3,150,0.342,FALSE,FALSE,0,0.00000165445341185488,0.00000320140199125459,0.00000154694857939971,93.5,TRUE,FALSE,FALSE,TRUE,"EL"
"chr16+30699140:30740129","'SRCAP","+",50.99,19,11,41,23,5,373,0.002,0.357,5,360,0.896,FALSE,FALSE,0,0.0000085191421435801,0.00000886221142337357,0.000000343069279793467,4,FALSE,FALSE,TRUE,TRUE,"AL"
"chr22-40824534:40857008","'ST13","-",42.475,13,11,29,24,2,29,0.001,0.021,2,180,0.562,TRUE,FALSE,0,0.0000072337189331649,0.0000111013842940529,0.00000386766536088801,53.5,FALSE,FALSE,TRUE,TRUE,"AL"
"chr21+15730024:15880071","'USP25","+",160.048,14,11,29,31,2,10,0.001,0.014,2,270,0.304,FALSE,FALSE,0,0.00000191975039791924,0.00000380549122622245,0.00000188574082830321,98.2,TRUE,FALSE,FALSE,TRUE,"EL"
"chr10+94545766:94602099","'HELLS","+",66.334,9,10,10,17,4,15,0.001,0.056,2,120,0.537,FALSE,TRUE,0.316030041287781,0.00000159720563379979,0.00000503514541570453,0.00000343793978190473,215.2,TRUE,FALSE,FALSE,TRUE,"EL"
"chr2+208266266:208358751","'PIKFYVE","+",102.486,5,10,5,12,1,410,0,0.273,3,63,0.89,FALSE,FALSE,0,0.00000051689517842669,0.00000230046688274446,0.00000178357170431777,345.1,TRUE,FALSE,TRUE,FALSE,"EA"
"chr17-29625938:29930228","'SSH2","-",314.291,24,10,70,30,5,137,0.003,0.062,4,1095,0.792,FALSE,FALSE,0,0.00000235973435315465,0.00000187537703072112,-0.00000048435732243353,-20.5,FALSE,FALSE,TRUE,TRUE,"AL"
"chr15-42942899:43106088","'UBR1","-",173.19,21,10,43,18,2,48,0.003,0.421,4,1825,0.686,FALSE,FALSE,0,0.00000263052639069025,0.00000204196820496231,-0.000000588558185727938,-22.4,FALSE,FALSE,TRUE,TRUE,"AL"
"chr4-88725953:89057195","'FAM13A","-",341.243,9,9,11,14,3,1,0.001,0.007,2,1095,0,FALSE,FALSE,0,0.000000341527715920101,0.000000806052941068701,0.0000004645252251486,136,TRUE,FALSE,FALSE,TRUE,"EL"
"chr4-108047544:108168956","'LEF1","-",131.413,17,9,34,18,8,84,0.004,0.038,4,180,0.765,TRUE,FALSE,0,0.00000274118033179683,0.00000269112244159576,-0.0000000500578902010734,-1.8,FALSE,FALSE,TRUE,TRUE,"AL"
"chr6+36027676:36111236","'MAPK14","+",93.561,15,9,29,19,1,91,0.001,0.018,2,120,0.774,TRUE,FALSE,0,0.00000328397742313762,0.00000398986341348962,0.000000705885990351997,21.5,FALSE,FALSE,TRUE,TRUE,"AL"
"chr8+6406591:6648505","'MCPH1","+",251.915,7,9,10,14,2,9,0.001,0.004,2,270,0.357,TRUE,FALSE,0,0.00000042057455297412,0.0000010918759254872,0.000000671301372513075,159.6,TRUE,FALSE,FALSE,TRUE,"EL"
"chr1+151198543:151249531","'PIP5K1A","+",60.989,4,9,4,13,2,3,0.001,0.017,2,548,0.252,FALSE,FALSE,0,0.000000694873098509407,0.00000418785004438551,0.0000034929769458761,502.7,TRUE,FALSE,FALSE,TRUE,"EL"
"chr3+158110051:158544835","'RSRC1","+",444.785,14,9,21,14,4,109,0.001,0.014,3,120,0.812,FALSE,FALSE,0,0.000000500225908868776,0.000000618410971073905,0.000000118185062205129,23.6,FALSE,FALSE,TRUE,TRUE,"AL"
"chr17-64544616:64662268","'SMURF2","-",127.653,17,9,44,15,5,27,0.005,0.008,2,180,0.581,FALSE,FALSE,0,0.00000365189826682406,0.00000230865754178269,-0.00000134324072504137,-36.8,FALSE,FALSE,TRUE,TRUE,"AL"
"chr5-178602663:178627053","'CLK4","-",34.391,13,8,28,23,4,53,0.001,0.036,4,120,0.665,FALSE,FALSE,0,0.00000862601575513743,0.0000131396051431426,0.0000045135893880052,52.3,FALSE,FALSE,TRUE,TRUE,"AL"
"chr10-67921898:68075346","'HERC4","-",163.449,14,8,18,13,4,35,0.005,0.018,4,120,0.662,FALSE,FALSE,0,0.00000116677538144899,0.00000156264514531767,0.00000039586976386868,33.9,FALSE,FALSE,TRUE,TRUE,"AL"
"chr10+110871794:110900006","'PDCD4","+",38.213,13,8,19,14,2,26,0.002,0.011,3,150,0.605,TRUE,FALSE,0,0.00000526792382628172,0.00000719807195899581,0.00000193014813271409,36.6,FALSE,FALSE,TRUE,TRUE,"AL"
"chr19+804939:805001","'MIR4745","+",10.063,7,7,10,13,2,47,0.001,0.043,2,360,0.688,FALSE,FALSE,0,0.0000105285738360802,0.00002538137596711,0.0000148528021310297,141.1,TRUE,FALSE,FALSE,TRUE,"EL"
"chrX-80669487:80809734","'BRWD3","-",150.248,7,6,9,13,3,6,0.001,0.003,2,180,0.283,TRUE,FALSE,0,0.000000634644951421836,0.00000169994133936577,0.00000106529638794393,167.9,TRUE,FALSE,FALSE,TRUE,"EL"
"chr10-73134523:73168095","'ECD","-",43.573,7,6,9,13,1,24,0,0.009,2,270,0.595,FALSE,FALSE,0,0.00000218837662454336,0.0000058617213952913,0.00000367334477074794,167.9,TRUE,FALSE,TRUE,FALSE,"EA"
"chr7-1815791:2232948","'MAD1L1","-",427.158,16,6,21,11,2,35,0.002,0.012,2,150,0.685,TRUE,FALSE,0,0.000000520868111743661,0.000000505945133961835,-0.0000000149229777818252,-2.9,FALSE,FALSE,TRUE,TRUE,"AL"
"chr22+29883168:30030868","'MTMR3","+",157.701,18,6,45,12,3,261,0.005,0.041,5,120,0.876,TRUE,FALSE,0,0.0000030232571341091,0.00000149501682896715,-0.00000152824030514195,-50.5,FALSE,TRUE,TRUE,TRUE,"DAL"
"chr1-11106530:11262551","'MTOR","-",166.022,19,6,36,18,4,29,0.002,0.063,2,360,0.602,TRUE,FALSE,0,0.00000229738551905718,0.00000213013018405647,-0.000000167255335000715,-7.3,FALSE,FALSE,TRUE,TRUE,"AL"
"chr13+79481123:79556077","'NDFIP2","+",84.955,8,6,12,17,1,8,0.001,0.006,2,360,0.4,FALSE,FALSE,0,0.00000149654341963358,0.00000393150886946435,0.00000243496544983077,162.7,TRUE,FALSE,FALSE,TRUE,"EL"
"chr12+56104318:56113910","'PA2G4","+",19.593,10,6,15,12,2,38,0.001,0.012,2,150,0.691,FALSE,FALSE,0,0.00000811124165613807,0.0000120331571961899,0.00000392191554005183,48.4,FALSE,FALSE,TRUE,TRUE,"AL"
"chr16-89737550:89816657","'FANCA","-",89.108,35,20,227,142,4,21,0.003,0.028,3,548,0.383,TRUE,TRUE,0.0359649025476381,0.0000269902048551555,0.0000313091250226156,0.00000431892016746008,16,FALSE,FALSE,FALSE,TRUE,"L"
"chr17-81556884:81637153","'NPLOC4","-",90.27,36,19,478,171,7,16,0.014,0.015,3,600,0.308,FALSE,TRUE,3.17281497572526,0.0000561024043524574,0.0000372179073608676,-0.0000188844969915898,-33.7,FALSE,TRUE,FALSE,TRUE,"DL"
"chr17+80544824:80966373","'RPTOR","+",431.55,33,19,178,96,4,11,0.002,0.013,2,360,0.277,FALSE,FALSE,0,0.00000437004492068605,0.0000043705832268789,0.000000000538306192853387,0,FALSE,FALSE,FALSE,TRUE,"L"
"chr11+67119268:67258079","'KDM2A","+",148.812,35,18,270,94,5,7,0.01,0.133,3,1825,0.27,FALSE,FALSE,0,0.0000192230736757576,0.0000124104972497879,-0.00000681257642596973,-35.4,FALSE,TRUE,FALSE,TRUE,"DL"
"chr16+67029146:67101055","'CBFB","+",81.91,28,16,70,63,3,14,0.004,0.016,2,60,0.397,TRUE,TRUE,0.135692498071137,0.00000905436783771613,0.0000151113375285189,0.00000605696969080274,66.9,TRUE,FALSE,FALSE,FALSE,"E"
"chr22+41092609:41180077","'EP300","+",97.469,20,16,59,36,6,6,0.002,0.065,3,360,0.291,TRUE,FALSE,0,0.00000641331425605685,0.00000725663489760689,0.000000843320641550039,13.1,FALSE,FALSE,FALSE,TRUE,"L"
"chr11+66070352:66244747","'PACS1","+",184.396,35,16,359,114,6,5,0.004,0.143,2,360,0.283,FALSE,FALSE,0,0.0000206271854194119,0.0000121465414920986,-0.00000848064392731327,-41.1,FALSE,TRUE,FALSE,TRUE,"DL"
"chr21+44012324:44106551","'TRAPPC10","+",104.228,31,16,101,45,4,7,0.005,0.033,2,1095,0.363,FALSE,FALSE,0,0.0000102667736978164,0.0000084825688254937,-0.00000178420487232265,-17.4,FALSE,FALSE,FALSE,TRUE,"L"
"chr6+144291736:144853034","'UTRN","+",571.299,22,16,44,27,2,6,0.002,0.013,3,1095,0.307,FALSE,FALSE,0,0.000000815992622873298,0.000000928537788664315,0.000000112545165791017,13.8,FALSE,FALSE,FALSE,TRUE,"L"
"chr17-82101469:82212829","'CCDC57","-",121.361,30,15,138,40,3,6,0.002,0.056,2,912,0.273,FALSE,FALSE,0,0.0000120475006919205,0.00000647560168821254,-0.00000557189900370794,-46.2,FALSE,TRUE,FALSE,TRUE,"DL"
"chr16-3725054:3880120","'CREBBP","-",165.067,23,15,64,46,2,5,0.005,0.096,3,600,0.219,TRUE,TRUE,2.79174547453273,0.00000410787041916218,0.00000547516051636994,0.00000136729009720776,33.3,FALSE,FALSE,FALSE,TRUE,"L"
"chr9+137618991:137836126","'EHMT1","+",227.136,23,15,96,49,3,3,0.005,0.045,3,600,0.146,TRUE,FALSE,0,0.00000447798134034131,0.00000423847269121528,-0.000000239508649126034,-5.3,FALSE,FALSE,FALSE,TRUE,"L"
"chr5+177133078:177300213","'NSD1","+",177.136,30,15,120,44,5,6,0.003,0.04,3,150,0.294,TRUE,FALSE,0,0.00000717747076906843,0.00000488028433594232,-0.00000229718643312611,-32,FALSE,TRUE,FALSE,TRUE,"DL"
"chr1-155335260:155562533","'ASH1L","-",237.274,34,14,145,51,4,5,0.002,0.026,2,1825,0.216,FALSE,FALSE,0,0.00000647462873484198,0.00000422298274575399,-0.00000225164598908799,-34.8,FALSE,TRUE,FALSE,TRUE,"DL"
"chr12+14365631:14502935","'ATF7IP","+",147.305,22,14,47,30,3,8,0.005,0.056,2,270,0.399,TRUE,FALSE,0,0.00000338047236012786,0.00000400131782602336,0.000000620845465895502,18.4,FALSE,FALSE,FALSE,TRUE,"L"
"chr19-10133343:10195135","'DNMT1","-",71.793,33,14,182,74,6,13,0.005,0.014,2,912,0.424,TRUE,FALSE,0,0.0000268587815097162,0.0000202511131794722,-0.00000660766833024395,-24.6,FALSE,TRUE,FALSE,TRUE,"DL"
"chr1-97077743:97921059","'DPYD","-",853.317,29,14,72,36,4,22,0.005,0.025,2,150,0.523,FALSE,FALSE,0,0.000000893962123442781,0.000000828879474843284,-0.0000000650826485994975,-7.3,FALSE,FALSE,FALSE,TRUE,"L"
"chr1+28887090:29120046","'EPB41","+",242.957,18,14,51,42,2,7,0.003,0.043,2,60,0.349,FALSE,FALSE,0,0.00000222401534598149,0.00000339640253751619,0.0000011723871915347,52.7,TRUE,FALSE,FALSE,FALSE,"E"
"chr11-72836744:73142098","'FCHSD2","-",315.355,22,14,100,46,7,5,0.005,0.009,2,600,0.176,FALSE,FALSE,0,0.00000335967523941195,0.0000028658759840676,-0.000000493799255344353,-14.7,FALSE,FALSE,FALSE,TRUE,"L"
"chr1+39084166:39487138","'MACF1","+",412.973,32,14,98,34,5,11,0.007,0.047,3,548,0.307,TRUE,FALSE,0,0.0000025142093488491,0.00000161754563133834,-0.000000896663717510762,-35.7,FALSE,TRUE,FALSE,TRUE,"DL"
"chr22+50343316:50445089","'PPP6R2","+",111.774,28,14,124,45,7,15,0.003,0.033,2,180,0.376,FALSE,FALSE,0,0.0000117537895893025,0.00000790990018737415,-0.00000384388940192834,-32.7,FALSE,TRUE,FALSE,TRUE,"DL"
"chr17+5282262:5386339","'RABEP1","+",114.078,25,14,87,45,3,26,0.002,0.06,3,60,0.411,TRUE,FALSE,0,0.00000808005605864879,0.00000775014624680971,-0.000000329909811839084,-4.1,FALSE,FALSE,TRUE,FALSE,"A"
"chr3-47016407:47163977","'SETD2","-",157.571,30,14,83,46,3,17,0.002,0.143,2,270,0.419,TRUE,FALSE,0,0.00000558083035364088,0.00000573562597784895,0.000000154795624208072,2.8,FALSE,FALSE,FALSE,TRUE,"L"
"chr3-47585887:47781915","'SMARCC1","-",206.029,31,14,97,50,3,3,0.002,0.008,2,360,0.192,FALSE,FALSE,0,0.00000498816027632524,0.00000476805144229188,-0.000000220108834033362,-4.4,FALSE,FALSE,FALSE,TRUE,"L"
"chr16-18804852:18926404","'SMG1","-",131.553,31,14,98,41,2,7,0.005,0.018,3,150,0.324,FALSE,FALSE,0,0.00000789264081717832,0.00000612325552359309,-0.00000176938529358523,-22.4,FALSE,FALSE,FALSE,TRUE,"L"
"chr6-44826729:45378051","'SUPT3H","-",561.323,19,14,65,51,2,8,0.005,0.033,2,548,0.256,FALSE,FALSE,0,0.00000122686715194476,0.00000178507563028066,0.000000558208478335898,45.5,FALSE,FALSE,FALSE,TRUE,"L"
"chr1+12230038:12512046","'VPS13D","+",292.009,21,14,48,40,2,3,0.005,0.006,1,28,0.134,FALSE,FALSE,0,0.00000174157435168054,0.000002691305735382,0.000000949731383701461,54.5,TRUE,FALSE,FALSE,FALSE,"E"
"chr3+184812142:185052614","'VPS8","+",250.473,17,14,29,28,2,10,0.005,0.008,2,60,0.341,FALSE,FALSE,0,0.00000122668795313738,0.00000219632394524844,0.000000969635992111065,79,TRUE,FALSE,FALSE,FALSE,"E"
"chr17-78674046:78782342","'CYTH1","-",118.297,26,13,112,39,4,4,0.005,0.009,2,912,0.216,FALSE,FALSE,0,0.000010030932579353,0.00000647724252577059,-0.00000355369005358244,-35.4,FALSE,TRUE,FALSE,TRUE,"DL"
"chr11+31509728:31784525","'ELP4","+",284.798,11,13,20,23,2,4,0.001,0.067,1,60,0.161,FALSE,FALSE,0,0.000000744029371782635,0.00000158668305422727,0.000000842653682444636,113.3,TRUE,FALSE,FALSE,FALSE,"E"
"chr6-35573584:35728583","'FKBP5","-",165,26,13,126,33,3,15,0.002,0.028,4,1825,0.373,FALSE,FALSE,0,0.00000809065385004358,0.00000392942748241581,-0.00000416122636762777,-51.4,FALSE,TRUE,FALSE,TRUE,"DL"
"chr8+144291568:144314726","'HSF1","+",33.159,29,13,146,48,5,10,0.003,0.017,3,270,0.373,FALSE,FALSE,0,0.0000466496565723376,0.0000284406223281702,-0.0000182090342441674,-39,FALSE,TRUE,FALSE,TRUE,"DL"
"chr4-142023159:142846535","'INPP4B","-",833.377,23,13,67,32,4,3,0.002,0.008,3,150,0.159,FALSE,FALSE,0,0.000000851785636072973,0.000000754410545511251,-0.0000000973750905617217,-11.4,FALSE,FALSE,FALSE,TRUE,"L"
"chr11-68154862:68213772","'KMT5B","-",68.911,18,13,55,32,2,7,0.001,0.04,2,912,0.309,FALSE,FALSE,0,0.00000845612038453389,0.00000912348387320645,0.000000667363488672559,7.9,FALSE,FALSE,FALSE,TRUE,"L"
"chr4-150264658:151015497","'LRBA","-",760.84,24,13,56,43,2,17,0.002,0.026,2,180,0.347,TRUE,FALSE,0,0.000000779815224843414,0.0000011103870836436,0.00000033057185880019,42.4,FALSE,FALSE,FALSE,TRUE,"L"
"chrX-154021812:154097731","'MECP2","-",85.92,27,13,129,48,3,12,0.004,0.04,2,270,0.353,FALSE,FALSE,0,0.0000159071531286189,0.0000109760544201559,-0.00000493109870846298,-31,FALSE,TRUE,FALSE,TRUE,"DL"
"chr17-61942604:62065282","'MED13","-",132.679,15,13,51,27,5,21,0.005,0.025,4,270,0.506,FALSE,FALSE,0,0.00000407253669694243,0.00000399816632719673,-0.000000074370369745705,-1.8,FALSE,FALSE,FALSE,TRUE,"L"
"chr8+144148015:144261940","'MROH1","+",123.926,35,13,291,78,5,5,0.004,0.077,3,1825,0.269,FALSE,FALSE,0,0.0000248786939037251,0.0000123660629580731,-0.000012512630945652,-50.3,FALSE,TRUE,FALSE,TRUE,"DL"
"chr17+31094926:31377677","'NF1","+",292.752,15,13,49,31,2,14,0.002,0.015,3,548,0.447,TRUE,FALSE,0,0.00000177334497701512,0.00000208046831370734,0.00000030712333669222,17.3,FALSE,FALSE,FALSE,TRUE,"L"
"chr3-52545351:52685850","'PBRM1","-",150.5,27,13,69,28,5,14,0.005,0.004,2,150,0.461,TRUE,FALSE,0,0.00000485746422416001,0.00000365528137899145,-0.00000120218284516855,-24.7,FALSE,FALSE,FALSE,TRUE,"L"
"chr17-4671383:4704337","'PELP1","-",42.955,16,13,31,29,2,3,0.002,0.004,2,50,0.146,FALSE,TRUE,0.833026602996393,0.00000764618832239958,0.0000132642762181421,0.00000561808789574249,73.5,TRUE,FALSE,FALSE,FALSE,"E"
"chr16+425667:522481","'RAB11FIP3","+",106.815,30,13,115,37,5,7,0.006,0.009,2,360,0.324,FALSE,FALSE,0,0.0000114067681776292,0.00000680563670127721,-0.00000460113147635204,-40.3,FALSE,TRUE,FALSE,TRUE,"DL"
"chr19-5586998:5622927","'SAFB2","-",45.93,20,13,52,27,6,13,0.002,0.021,2,270,0.406,FALSE,FALSE,0,0.0000119951012467858,0.0000115495909019407,-0.000000445510344845156,-3.7,FALSE,FALSE,FALSE,TRUE,"L"
"chr11-64764603:64778844","'SF1","-",24.242,25,13,70,48,3,16,0.002,0.008,2,270,0.498,FALSE,TRUE,1.7156755749714,0.0000305933202535817,0.0000389020128611416,0.00000830869260755986,27.2,FALSE,FALSE,FALSE,TRUE,"L"
"chr2+143129329:143768352","'ARHGAP15","+",649.024,24,12,66,35,2,7,0.002,0.021,2,360,0.265,FALSE,FALSE,0,0.00000107740800676452,0.0000010595136842748,-0.0000000178943224897248,-1.7,FALSE,FALSE,FALSE,TRUE,"L"
"chr8-144262045:144291438","'BOP1","-",39.394,23,12,96,35,5,10,0.002,0.017,3,270,0.336,TRUE,FALSE,0,0.0000258189259714618,0.0000174556990765794,-0.00000836322689488241,-32.4,FALSE,FALSE,FALSE,TRUE,"L"
"chr11+65181214:65212006","'CAPN1","+",40.793,28,12,63,25,5,2,0.002,0.003,2,600,0.144,FALSE,FALSE,0,0.0000163625853119063,0.0000120407529552123,-0.00000432183235669402,-26.4,FALSE,FALSE,FALSE,TRUE,"L"
"chr12-6570081:6607433","'CHD4","-",47.353,20,12,47,32,4,19,0.008,0.004,2,548,0.427,FALSE,FALSE,0,0.000010515922560527,0.000013277055248591,0.00000276113268806401,26.3,FALSE,FALSE,FALSE,TRUE,"L"
"chr7+101815903:102283958","'CUX1","+",478.056,10,12,14,19,1,3,0.001,0.004,1,270,0.124,TRUE,FALSE,0,0.000000310274641291953,0.000000780861679028194,0.000000470587037736241,151.7,TRUE,FALSE,FALSE,FALSE,"E"
"chr3-81489698:81761799","'GBE1","-",282.102,9,12,16,22,3,9,0.001,0.01,2,60,0.403,FALSE,FALSE,0,0.000000600911945395498,0.00000153220120050811,0.000000931289255112614,155,TRUE,FALSE,FALSE,FALSE,"E"
"chr4-15004941:15427914","'LOC101929095","-",432.974,8,12,13,20,2,14,0.001,0.015,2,50,0.388,FALSE,FALSE,0,0.000000318110902886127,0.00000090754352049218,0.000000589432617606053,185.3,TRUE,FALSE,FALSE,FALSE,"E"
"chr16+1706182:1770317","'MAPK8IP3","+",74.136,28,12,107,34,5,5,0.003,0.043,2,270,0.282,FALSE,FALSE,0,0.000015291554873253,0.00000901050329139269,-0.00000628105158186036,-41.1,FALSE,TRUE,FALSE,TRUE,"DL"
"chr15+41660411:41769943","'MGA","+",119.533,16,12,40,24,2,85,0.002,0.013,3,90,0.75,FALSE,FALSE,0,0.00000354543225761841,0.00000394477924832387,0.000000399346990705457,11.3,FALSE,FALSE,TRUE,FALSE,"A"
"chr17+4141088:4240637","'MIR5096","+",109.55,21,12,63,24,4,9,0.002,0.025,3,60,0.413,FALSE,TRUE,1.7740421349779,0.00000609291595279412,0.00000430425648461796,-0.00000178865946817616,-29.4,FALSE,TRUE,FALSE,TRUE,"DL"
"chr5+50665898:50846522","'PARP8","+",190.625,24,12,46,25,3,4,0.005,0.008,2,360,0.205,FALSE,FALSE,0,0.0000025566718801699,0.00000257667375896119,0.0000000200018787912876,0.8,FALSE,FALSE,FALSE,TRUE,"L"
