"loci","region_name","region_width","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","TDN_sum_abund","TP_sum_abund","long_count","max_time","max_span","abund_gini","ort_fisher_test","Near_Onco","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min","TDN_freq","TP_freq","freq_diff","pct_chg"
"chr1*1407314:1418418","ANKRD65",21.105,8,2,9,2,3,2,0.00149700598802395,0.00449438202247191,12,3,1,21,0,0.166666666666667,0.181818181818182,FALSE,FALSE,TRUE,FALSE,0,0.0000028873940849711,0.00000177534328503787,-0.00000111205079993323,-38.5139945295815
"chr1*1427788:1430155","LINC01770",12.368,1,0,1,0,1,0,0.000131319763624425,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000547456268536322,0,-0.000000547456268536322,-100
"chr1*1496205:1512141","ATAD3A",25.937,0,1,0,1,0,1,0,0.000354233085370174,0,1,1,14,0,0,1,FALSE,FALSE,FALSE,TRUE,1.38675131315115,0,0.000000722300575061192,0.000000722300575061192,Inf
"chr1*1600097:1615413","MIB2",25.317,3,0,3,0,1,0,0.000958772770853308,0,3,0,0,0,0,0,1,TRUE,FALSE,FALSE,TRUE,1.38675131315115,0.000000802339036527696,0,-0.000000802339036527696,-100
"chr1*1780070:1785283","GNB1",15.214,1,0,1,0,1,0,0.000131319763624425,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000445046610310058,0,-0.000000445046610310058,-100
"chr1*2003838:2019327","GABRD",25.49,0,2,0,2,0,1,0,0.000932835820895522,0,2,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000146993409300605,0.00000146993409300605,Inf
"chr1*2212721:2228693","SKI",25.973,1,0,1,0,1,0,0.000241196333815726,0,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000260691453788828,0,-0.000000260691453788828,-100
"chr1*2565623:2566533","LOC100996583",10.911,1,0,1,0,1,0,0.00016095284081764,0,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000620560822038056,0,-0.000000620560822038056,-100
"chr1*2789666:3021480","ACTRT2",241.815,2,1,2,1,1,1,0.000485201358563804,0.000243368216110976,2,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000000560009852925354,0.0000000774737299810274,0.0000000214727446884919,38.3435123084417
"chr1*3022904:3059615","LINC00982",46.712,0,1,0,1,0,1,0,0.000693000693000693,0,1,1,270,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000040105989928417,0.00000040105989928417,Inf
"chr1*3885430:3889131","C1orf174",13.702,0,1,0,2,0,3,0,0.0175438596491228,0,6,2,912.5,365,0.25,1,FALSE,FALSE,TRUE,FALSE,0,0,0.00000273453656624757,0.00000273453656624757,Inf
"chr1*3952584:4412049","LINC01777",469.466,1,0,1,0,1,0,0.000509164969450102,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000000144226400405082,0,-0.0000000144226400405082,-100
"chr1*4424685:4655043","AJAP1",240.359,2,0,2,0,1,0,0.000241196333815726,0,2,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000000563402171689617,0,-0.0000000563402171689617,-100
"chr1*4783792:5564069","MIR4417",790.278,2,4,2,4,1,2,0.000428265524625268,0.00510204081632653,2,5,1,600,0,0.15,0.466666666666667,FALSE,FALSE,TRUE,FALSE,0,0.0000000171355880570058,0.0000000948238974910709,0.0000000776883094340651,453.374049233767
"chr1*5564144:5862670","MIR4689",308.527,2,2,2,2,1,1,0.000307408545957578,0.00126903553299492,2,2,1,28,0,0,0.333333333333333,FALSE,FALSE,FALSE,FALSE,0,0.0000000438920362189191,0.000000121443569057892,0.000000077551532838973,176.687024616883
"chr1*6701907:6724743","LINC01672",32.837,1,1,1,1,1,1,0.000477326968973747,0.0036231884057971,1,1,1,60,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000206198469082353,0.000000570524408909527,0.000000364325939827174,176.687024616883
"chr1*7853492:7915869","TNFRSF9",72.378,1,1,1,1,1,1,0.000365764447695684,0.00338983050847458,1,1,1,10,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000093549685391379,0.000000258839841047862,0.000000165290155656483,176.687024616883
"chr1*7943166:7961652","PARK7",28.487,2,1,3,2,3,1,0.00088339222614841,0.0000632911392405063,5,2,1,14,0,0,0.1,FALSE,FALSE,FALSE,FALSE,0,0.000000713055688130434,0.00000131528837823303,0.000000602232690102594,84.4580164112555
"chr1*7985283:8011717","ERRFI1",36.435,1,0,1,0,1,0,0.000722021660649819,0,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000185836122663846,0,-0.000000185836122663846,-100
"chr1*8026334:8208670","LINC01714",192.337,2,2,2,2,1,1,0.000485201358563804,0.0033112582781457,2,2,1,28,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.0000000704070369118498,0.000000194807135552308,0.000000124400098640458,176.687024616883
"chr1*8215209:8318083","SLC45A1",112.875,1,0,1,0,1,0,0.000182381907714755,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000000599861716877717,0,-0.0000000599861716877717,-100
"chr1*8879885:8945832","CA6",75.948,7,2,17,3,3,1,0.00145560407569141,0.0192307692307692,19,3,1,60,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000151558915570355,0.000000740018565940991,-0.000000775570589762554,-51.1728780087853
"chr1*8975090:9003298","SLC2A7",38.209,3,0,3,0,1,0,0.000736919675755343,0,3,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000531623894573835,0,-0.000000531623894573835,-100
"chr1*9129171:9148009","MIR34AHG",28.839,0,1,0,1,0,1,0,0.000281531531531532,0,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000649617185594581,0.000000649617185594581,Inf
"chr1*9192086:9234802","H6PD",52.717,1,1,1,1,1,1,0.000235349493998588,0.000623830318153462,1,1,1,270,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000128439386331871,0.000000355375116477837,0.000000226935730145966,176.687024616883
"chr1*9428997:9539467","SLC25A33",120.471,2,0,2,0,1,0,0.000509164969450102,0,2,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000112407784931763,0,-0.000000112407784931763,-100
"chr1*9614878:9651730","PIK3CD",46.853,4,4,5,5,2,1,0.000405186385737439,0.000742390497401633,6,5,1,14,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000722572634543917,0.00000199926472321539,0.00000127669208867147,176.687024616883
"chr1*9824527:9848274","CTNNBIP1",33.748,1,0,1,0,1,0,0.000241196333815726,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000200632307966612,0,-0.000000200632307966612,-100
"chr1*9910259:9922111","LZIC",21.853,2,0,2,0,1,0,0.000495785820525533,0,2,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000619680513362671,0,-0.000000619680513362671,-100
"chr1*10381604:10398990","PGD",27.387,1,0,1,0,1,0,0.000182381907714755,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000247231866551912,0,-0.000000247231866551912,-100
"chr1*10796677:10946471","C1orf127",159.795,2,2,2,2,2,1,0.000509164969450102,0.00176991150442478,3,2,1,90,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000000847453190557555,0.000000234479301797455,0.000000149733982741699,176.687024616883
"chr1*11060035:11066611","EXOSC10",16.577,2,1,2,1,2,1,0.00143884892086331,0.0000632911392405063,3,1,1,14,0,0,0.333333333333333,FALSE,FALSE,FALSE,FALSE,0,0.000000816907658714753,0.00000113013874738265,0.000000313231088667894,38.3435123084417
"chr1*11299572:11479236","DISP3",189.665,4,1,4,1,1,1,0.00131752305665349,0.0000632911392405063,4,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000142797862109661,0.0000000987757889719354,-0.0000000440220731377259,-30.8282438457792
"chr1*11613355:11648359","FBXO2",45.005,0,1,0,1,0,1,0,0.000716332378223496,0,1,1,10,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000416271747924945,0.000000416271747924945,Inf
"chr1*11858936:11908152","RNU5E-1",59.217,1,0,1,0,1,0,0.000485201358563804,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000114341137329774,0,-0.000000114341137329774,-100
"chr1*11908273:11919586","KIAA2013",21.314,1,2,1,2,1,1,0.000643500643500643,0.00714285714285714,1,2,1,270,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000031767566525557,0.00000175793469225506,0.00000144025902699949,453.374049233767
"chr1*11926429:11934665","PLOD1",18.237,0,1,0,1,0,1,0,0.00497512437810945,0,1,1,360,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000102726928855416,0.00000102726928855416,Inf
"chr1*12013516:12019240","MIIP",15.725,1,0,1,0,1,0,0.000736919675755343,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000430584364340682,0,-0.000000430584364340682,-100
"chr1*12032050:12063375","TNFRSF8",41.326,1,1,1,1,3,1,0.00088339222614841,0.000360880548538434,3,1,1,13,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000163842112211616,0.000000453329865347775,0.000000289487753136159,176.687024616883
"chr1*12144208:12166941","MIR7846",32.734,5,0,5,0,1,0,0.000365764447695684,0,5,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.0000010342364405904,0,-0.0000010342364405904,-100
"chr1*12209221:12230037","VPS13D",30.817,0,2,0,2,0,1,0,0.00126903553299492,0,2,1,28,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0,0.00000121584255543123,0.00000121584255543123,Inf
"chr1*12512047:12567908","DHRS3",65.862,1,0,1,0,1,0,0.000282406099971759,0,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000102804942595992,0,-0.000000102804942595992,-100
"chr1*12667087:12716113","AADACL3",59.027,0,1,0,1,0,1,0,0.00078125,0,1,1,28,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000317385434044795,0.000000317385434044795,Inf
"chr1*12728760:12746184","C1orf158",27.425,0,1,0,1,0,1,0,0.0000632911392405063,0,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000683110666011381,0.000000683110666011381,Inf
"chr1*12761170:12774846","PRAMEF12",23.677,1,0,1,0,1,0,0.000241196333815726,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000285971158899237,0,-0.000000285971158899237,-100
"chr1*13053660:13061230","HNRNPCL3",17.571,0,1,0,1,0,1,0,0.000265886732252061,0,1,1,21,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000106620624980719,0.00000106620624980719,Inf
"chr1*13116855:13127067","PRAMEF34P",20.213,1,0,1,0,1,0,0.00018723085564501,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000033497942558043,0,-0.00000033497942558043,-100
"chr1*13513748:13583755","PDPN",80.008,0,1,0,1,0,1,0,0.00497512437810945,0,1,1,360,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000234155459646062,0.000000234155459646062,Inf
"chr1*13617958:13700238","PRDM2",92.281,1,0,1,0,1,0,0.000182381907714755,0,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.0000000733730576094454,0,-0.0000000733730576094454,-100
"chr1*13825080:14598715","KAZN",783.636,1,1,1,1,1,1,0.000235349493998588,0.00431034482758621,1,1,1,21,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.00000000864041357116981,0.0000000239069032246632,0.0000000152664896534933,176.687024616883
"chr1*15220481:15247270","FHAD1",36.79,1,1,1,1,1,1,0.000131319763624425,0.00288184438040346,1,1,1,547.5,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000184042922784921,0.000000509222887071545,0.000000325179964286624,176.687024616883
"chr1*15398127:15409893","EFHD2",21.767,1,0,1,0,1,0,0.000509164969450102,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000311064415365334,0,-0.000000311064415365334,-100
"chr1*15585111:15617456","DDI2",42.346,1,1,1,1,1,2,0.000182381907714755,0.000531632110579479,1,2,1,14,0,0,1,FALSE,FALSE,TRUE,FALSE,0,0.000000159895601219884,0.000000442410381508575,0.000000282514780288691,176.687024616883
"chr1*15662031:15684301","PLEKHM2",32.271,1,0,1,0,1,0,0.00131752305665349,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000209814977201116,0,-0.000000209814977201116,-100
"chr1*15786590:15807160","UQCRHL",30.571,1,0,1,0,1,0,0.000485201358563804,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000221482422205922,0,-0.000000221482422205922,-100
"chr1*15807700:15834213","FLJ37453",36.514,2,1,2,1,1,1,0.000722021660649819,0.0031055900621118,2,1,1,180,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000370868112464108,0.000000513071972814869,0.000000142203860350761,38.3435123084417
"chr1*16156110:16197852","ARHGEF19",51.743,1,1,1,1,1,1,0.000722021660649819,0.0000632911392405063,1,1,1,14,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000130857103941736,0.000000362064627396211,0.000000231207523454475,176.687024616883
"chr1*16630907:16645572","MST1P2",24.666,3,1,6,2,1,1,0.000477326968973747,0.0031055900621118,6,2,1,180,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000164702970791954,0.00000151903916446624,-0.0000001279905434533,-7.77099179437221
"chr1*16764481:16858947","MIR3675",104.467,1,0,1,0,1,0,0.000495049504950495,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000000648141435023235,0,-0.0000000648141435023235,-100
"chr1*17119454:17205124","PADI1",95.671,1,2,1,2,1,1,0.000241196333815726,0.0026525198938992,1,2,1,14,0,0,0.333333333333333,TRUE,FALSE,FALSE,FALSE,0,0.0000000707731614518216,0.000000391640309296697,0.000000320867147844875,453.374049233767
"chr1*17439755:17539833","ARHGEF10L",110.079,3,4,3,4,1,1,0.000294464075382803,0.0232558139534884,3,4,1,270,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000184529450556161,0.000000680758728380968,0.000000496229277824806,268.916032822511
"chr1*17827064:18065655","LINC01654",248.592,0,1,0,1,0,1,0,0.000783085356303837,0,1,1,600,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.0000000753616770264616,0.0000000753616770264616,Inf
"chr1*18378484:18480928","KLHDC7A",112.445,1,0,1,0,1,0,0.000405186385737439,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000000602155643137287,0,-0.0000000602155643137287,-100
"chr1*18485987:18631004","PAX7",155.018,1,2,1,2,1,1,0.000294464075382803,0.0196078431372549,1,2,1,28,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.0000000436784059222621,0.000000241704963492783,0.000000198026557570521,453.374049233767
"chr1*18956333:19074504","UBR4",128.172,2,2,2,2,1,1,0.000736919675755343,0.0021978021978022,2,2,1,28,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000105653951397454,0.000000292330774511783,0.000000186676823114329,176.687024616883
"chr1*19288787:19293245","LOC100506730",14.459,1,0,1,0,1,0,0.000303122158229767,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000468285436700825,0,-0.000000468285436700825,-100
"chr1*19295737:19302706","AKR7A2",16.97,0,1,0,1,0,1,0,0.00319488817891374,0,1,1,25,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000110396641221934,0.00000110396641221934,Inf
"chr1*19485642:19591800","LOC105378614",116.159,2,0,2,0,4,0,0.0011972463334331,0,5,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000116580534082718,0,-0.000000116580534082718,-100
"chr1*19658457:19665285","HTR6",16.829,1,0,1,0,1,0,0.000182381907714755,0,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000402337579728874,0,-0.000000402337579728874,-100
"chr1*19815279:19882393","OTUD3",77.115,1,0,1,0,1,0,0.000241196333815726,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000000878031398464271,0,-0.0000000878031398464271,-100
"chr1*19912945:19920305","PLA2G2E",17.361,1,0,1,0,1,0,0.000182381907714755,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000390008589900192,0,-0.000000390008589900192,-100
"chr1*19923618:19975429","PLA2G2A",61.812,1,1,1,1,1,1,0.000509164969450102,0.00026581605528974,1,1,1,14,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000109540851764337,0.000000303085323486736,0.000000193544471722399,176.687024616883
"chr1*19980440:20070206","PLA2G5",99.767,0,1,0,1,0,1,0,0.0031055900621118,0,1,1,180,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0,0.000000187780629019236,0.000000187780629019236,Inf
"chr1*20196049:20290917","VWA5B1",104.869,0,3,0,3,0,1,0,0.00387596899224806,0,3,1,17,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000535934642707439,0.000000535934642707439,Inf
"chr1*20428795:20482389","CAMK2N1",63.595,1,0,1,0,1,0,0.000219058050383352,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000106469677321444,0,-0.000000106469677321444,-100
"chr1*20486236:20499446","MUL1",23.211,0,1,0,1,0,1,0,0.00471698113207547,0,1,1,10,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000807130671464484,0.000000807130671464484,Inf
"chr1*20508182:20552437","FAM43B",54.256,1,0,1,0,1,0,0.000294464075382803,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000124796135528923,0,-0.000000124796135528923,-100
"chr1*20555021:20588949","CDA",43.929,1,0,1,0,1,0,0.000182381907714755,0,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000154133695947033,0,-0.000000154133695947033,-100
"chr1*20618908:20633453","PINK1",24.546,0,1,0,1,0,1,0,0.00126903553299492,0,1,1,28,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0,0.000000763232706565719,0.000000763232706565719,Inf
"chr1*20661545:20664012","KIF17",12.468,0,1,0,1,0,1,0,0.0021978021978022,0,1,1,28,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000150259143530335,0.00000150259143530335,Inf
"chr1*20732641:20742676","HP1BP3",20.036,1,1,1,1,1,1,0.000219058050383352,0.000311720698254364,1,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000337938666862509,0.000000935032442371837,0.000000597093775509329,176.687024616883
"chr1*20786689:20806290","EIF4G3",29.602,1,0,1,0,1,0,0.000428265524625268,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000228732488658105,0,-0.000000228732488658105,-100
"chr1*21176889:21217245","ECE1",50.357,1,1,1,1,1,1,0.000495785820525533,0.0000632911392405063,1,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000134458747130632,0.000000372029906772884,0.000000237571159642252,176.687024616883
"chr1*21345542:21440088","NBPF3",104.547,1,1,1,1,1,2,0.000294464075382803,0.000442086648983201,1,3,1,14,0,0,1,FALSE,FALSE,TRUE,FALSE,0,0.0000000647645473256739,0.000000179195099002,0.000000114430551676327,176.687024616883
"chr1*21484901:21509356","ALPL",34.456,0,1,0,1,0,1,0,0.000243368216110976,0,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000543716914771364,0.000000543716914771364,Inf
"chr1*21783196:21812263","LDLRAD2",39.068,0,1,0,1,0,1,0,0.00671140939597315,0,1,1,1095,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000479530818454032,0.000000479530818454032,Inf
"chr1*21937298:21976892","CELA3B",49.595,1,0,1,0,1,0,0.000182381907714755,0,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000136524632105197,0,-0.000000136524632105197,-100
"chr1*21989355:22001654","CELA3A",22.3,1,0,1,0,1,0,0.000485201358563804,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000303629557365795,0,-0.000000303629557365795,-100
"chr1*22031225:22052625","CDC42",31.401,2,0,3,0,1,0,0.000219058050383352,0,3,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000646884410935056,0,-0.000000646884410935056,-100
"chr1*22092944:22117303","WNT4",34.36,1,2,3,3,1,1,0.000162443144899285,0.000716332378223496,3,3,1,14,0,0,0.4,TRUE,FALSE,FALSE,FALSE,0,0.000000591176291844345,0.00000163570809214454,0.0000010445318003002,176.687024616883
"chr1*22143027:22266237","MIR4418",133.211,1,0,1,0,1,0,0.000241196333815726,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000000508286787822119,0,-0.0000000508286787822119,-100
"chr1*22266301:22451849","ZBTB40",195.549,1,1,1,1,1,1,0.000217580504786771,0.00241545893719807,1,1,1,60,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000000346252812811992,0.0000000958036605421768,0.0000000611783792609776,176.687024616883
"chr1*22531158:22563500","EPHA8",42.343,1,1,1,1,1,1,0.000722021660649819,0.00176991150442478,1,1,1,90,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000159906929817378,0.00000044244172626791,0.000000282534796450533,176.687024616883
"chr1*22603595:22633256","MIR6127",39.662,1,0,1,0,1,0,0.000805152979066023,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000170716028673724,0,-0.000000170716028673724,-100
"chr1*22639683:22643615","C1QC",13.933,0,1,0,1,0,1,0,0.00218340611353712,0,1,1,270,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000134459987191288,0.00000134459987191288,Inf
"chr1*22965431:23010832","C1orf234",55.402,1,0,1,0,2,0,0.000482392667631452,0,2,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000122214705773388,0,-0.000000122214705773388,-100
"chr1*23168859:23191893","HTR1D",33.035,1,0,1,0,1,0,0.000509164969450102,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000204962589049712,0,-0.000000204962589049712,-100
"chr1*23285519:23304688","HNRNPR",29.17,4,0,5,0,2,0,0.000564812199943519,0,6,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000116059978218328,0,-0.00000116059978218328,-100
"chr1*23344365:23359446","ZNF436",25.082,1,0,1,0,1,0,0.000131319763624425,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000269952122209442,0,-0.000000269952122209442,-100
"chr1*23484258:23506426","E2F2",32.169,0,2,0,2,0,1,0,0.00126903553299492,0,2,1,28,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0,0.00000116474307658691,0.00000116474307658691,Inf
