seqnames,strand,position,sampleName,refGenome
chr3,+,51399038,D28 - CR_PRtd,hg38
chr2,-,75997189,D28 - CR_PRtd,hg38
chr17,+,38304054,D28 - CR_PRtd,hg38
chr12,+,39638392,D28 - CR_PRtd,hg38
chr5,-,134073256,D28 - CR_PRtd,hg38
chr5,+,39008233,D28 - CR_PRtd,hg38
chr11,+,66080502,D28 - CR_PRtd,hg38
chr6,+,31359659,D28 - CR_PRtd,hg38
chr13,+,73881146,D28 - CR_PRtd,hg38
chr22,+,38865663,D28 - CR_PRtd,hg38
chr12,-,120175892,D28 - CR_PRtd,hg38
chr10,+,7208629,D28 - CR_PRtd,hg38
chr13,-,21384637,D28 - CR_PRtd,hg38
chr4,+,54054750,D28 - CR_PRtd,hg38
chr9,+,87582753,D28 - CR_PRtd,hg38
chr11,+,59662813,D28 - CR_PRtd,hg38
chr11,+,65865233,D28 - CR_PRtd,hg38
chr15,-,83810958,D28 - CR_PRtd,hg38
chr10,+,21582651,D28 - CR_PRtd,hg38
chr14,-,103476841,D28 - CR_PRtd,hg38
chr3,-,198179130,D28 - CR_PRtd,hg38
chr2,+,27915128,D28 - CR_PRtd,hg38
chr2,-,101301629,D28 - CR_PRtd,hg38
chr8,-,144074923,D28 - CR_PRtd,hg38
chr1,+,28960913,D28 - CR_PRtd,hg38
chr22,+,17690124,D28 - CR_PRtd,hg38
chr7,-,100105577,D28 - CR_PRtd,hg38
chr12,+,8175748,D28 - CR_PRtd,hg38
chr19,-,9814057,D28 - CR_PRtd,hg38
chr8,+,29460961,D28 - CR_PRtd,hg38
chr19,-,36075889,D28 - CR_PRtd,hg38
chr19,+,546636,D28 - CR_PRtd,hg38
chr15,-,64447372,D28 - CR_PRtd,hg38
chr19,+,3817860,D28 - CR_PRtd,hg38
chr13,+,32775235,D28 - CR_PRtd,hg38
chr14,+,70932992,D28 - CR_PRtd,hg38
chr6,+,122420914,D28 - CR_PRtd,hg38
chr20,-,62399624,D28 - CR_PRtd,hg38
chrX,+,79572709,D28 - CR_PRtd,hg38
chr5,-,70084471,D28 - CR_PRtd,hg38
chr16,+,25165743,D28 - CR_PRtd,hg38
chr2,-,169086226,D28 - CR_PRtd,hg38
chr1,+,199723533,D28 - CR_PRtd,hg38
chr13,-,102829478,D28 - CR_PRtd,hg38
chr19,+,48207268,D28 - CR_PRtd,hg38
chr2,-,119698788,D28 - CR_PRtd,hg38
chr5,-,80859345,D28 - CR_PRtd,hg38
chr3,+,44593318,D28 - CR_PRtd,hg38
chr1,+,97429199,D28 - CR_PRtd,hg38
chr16,-,19971460,D28 - CR_PRtd,hg38
chr6,-,60472392,D28 - CR_PRtd,hg38
chr22,-,17997252,D28 - CR_PRtd,hg38
chr11,+,88310395,D28 - CR_PRtd,hg38
chr8,+,131060797,D28 - CR_PRtd,hg38
chr17,+,38707571,D28 - CR_PRtd,hg38
chr17,-,46041313,D28 - CR_PRtd,hg38
chr19,-,48115310,D28 - CR_PRtd,hg38
chr2,-,70227332,D28 - CR_PRtd,hg38
chr19,+,10753748,D28 - CR_PRtd,hg38
chr21,+,15054156,D28 - CR_PRtd,hg38
chr5,+,109756037,D28 - CR_PRtd,hg38
chr1,-,63508707,D28 - CR_PRtd,hg38
chr20,-,56746371,D28 - CR_PRtd,hg38
chr12,+,50202412,D28 - CR_PRtd,hg38
chrX,-,50127510,D28 - CR_PRtd,hg38
chr19,+,35659433,D28 - CR_PRtd,hg38
chr17,+,46076355,D28 - CR_PRtd,hg38
chr19,+,10130558,D28 - CR_PRtd,hg38
chr8,-,5768603,D28 - CR_PRtd,hg38
chr12,+,25275966,D28 - CR_PRtd,hg38
chr1,+,12441162,D28 - CR_PRtd,hg38
chr8,-,89432571,D28 - CR_PRtd,hg38
chr2,-,224676858,D28 - CR_PRtd,hg38
chr6,+,8061054,D28 - CR_PRtd,hg38
chr14,+,74105592,D28 - CR_PRtd,hg38
chr2,+,119932524,D28 - CR_PRtd,hg38
chr7,-,24664684,D28 - CR_PRtd,hg38
chr15,-,64081758,D28 - CR_PRtd,hg38
chr12,-,8990431,D28 - CR_PRtd,hg38
chr1,+,202777345,D28 - CR_PRtd,hg38
chr1,+,192940213,D28 - CR_PRtd,hg38
chr17,-,77752536,D28 - CR_PRtd,hg38
chr9,+,19286888,D28 - CR_PRtd,hg38
chr22,-,47073919,D28 - CR_PRtd,hg38
chr12,-,55795813,D28 - CR_PRtd,hg38
chr14,-,30931559,D28 - CR_PRtd,hg38
chr2,-,152305360,D28 - CR_PRtd,hg38
chr17,-,80789335,D28 - CR_PRtd,hg38
chr14,-,104402826,D28 - CR_PRtd,hg38
chr11,+,93789614,D28 - CR_PRtd,hg38
chr15,-,60555827,D28 - CR_PRtd,hg38
chr8,-,120197584,D28 - CR_PRtd,hg38
chr3,+,133523009,D28 - CR_PRtd,hg38
chr7,-,6740076,D28 - CR_PRtd,hg38
chr10,-,110899421,D28 - CR_PRtd,hg38
chr8,-,89432571,D28 - CR_PRtd,hg38
chr3,+,60150716,D28 - CR_PRtd,hg38
chr9,+,79643335,D28 - CR_PRtd,hg38
chr15,+,78442799,D28 - CR_PRtd,hg38
chrX,+,154362132,D28 - CR_PRtd,hg38
chr8,+,17940240,D28 - CR_PRtd,hg38
chr19,+,41271106,D28 - CR_PRtd,hg38
chr20,-,61153880,D28 - CR_PRtd,hg38
chr2,+,205080775,D28 - CR_PRtd,hg38
chr3,-,72964542,D28 - CR_PRtd,hg38
chr2,-,38869021,D28 - CR_PRtd,hg38
chr19,+,19606248,D28 - CR_PRtd,hg38
chr3,-,115008288,D28 - CR_PRtd,hg38
chr4,-,32476191,D28 - CR_PRtd,hg38
chr18,-,66627352,D28 - CR_PRtd,hg38
chr1,+,155794505,D28 - CR_PRtd,hg38
chr16,+,89769196,D28 - CR_PRtd,hg38
chr18,-,25819421,D28 - CR_PRtd,hg38
chr3,+,182855064,D28 - CR_PRtd,hg38
chr6,+,30792926,D28 - CR_PRtd,hg38
chr15,-,83721952,D28 - CR_PRtd,hg38
chr12,-,65187444,D28 - CR_PRtd,hg38
chr13,+,75585662,D28 - CR_PRtd,hg38
chr1,+,43845690,D28 - CR_PRtd,hg38
chr3,-,112813936,D28 - CR_PRtd,hg38
chr5,-,38351183,D28 - CR_PRtd,hg38
chr3,-,37124260,D28 - CR_PRtd,hg38
chr5,+,75582471,D28 - CR_PRtd,hg38
chr3,+,142166709,D28 - CR_PRtd,hg38
chr4,+,139757448,D28 - CR_PRtd,hg38
chr3,+,129296973,D28 - CR_PRtd,hg38
chr11,-,64867989,D28 - CR_PRtd,hg38
chr10,+,95333569,D28 - CR_PRtd,hg38
chr5,-,64780322,D28 - CR_PRtd,hg38
chr16,+,3068302,D28 - CR_PRtd,hg38
chr19,-,34438133,D28 - CR_PRtd,hg38
chr9,+,107328247,D28 - CR_PRtd,hg38
chr7,+,111119654,D28 - CR_PRtd,hg38
chr10,+,55643684,D28 - CR_PRtd,hg38
chr15,+,67925989,D28 - CR_PRtd,hg38
chr17,-,39508590,D28 - CR_PRtd,hg38
chr17,-,82253195,D28 - CR_PRtd,hg38
chr15,-,17592027,D28 - CR_PRtd,hg38
chrY,+,13431836,D28 - CR_PRtd,hg38
chr1,-,42290461,D28 - CR_PRtd,hg38
chr5,+,43492993,D28 - CR_PRtd,hg38
chr17,+,58769424,D28 - CR_PRtd,hg38
chr4,+,26417354,D28 - CR_PRtd,hg38
chr18,+,74783162,D28 - CR_PRtd,hg38
chr6,+,166373498,D28 - CR_PRtd,hg38
chr11,-,257003,D28 - CR_PRtd,hg38
chr9,+,128975801,D28 - CR_PRtd,hg38
chrX,+,116955653,D28 - CR_PRtd,hg38
chr3,-,196124236,D28 - CR_PRtd,hg38
chr3,+,141547849,D28 - CR_PRtd,hg38
chr4,-,150871169,D28 - CR_PRtd,hg38
chr12,+,120553753,D28 - CR_PRtd,hg38
chr11,-,39295955,D28 - CR_PRtd,hg38
chr1,-,42193129,D28 - CR_PRtd,hg38
chr8,-,109235497,D28 - CR_PRtd,hg38
chr7,-,11063163,D28 - CR_PRtd,hg38
chr16,+,70514120,D28 - CR_PRtd,hg38
chr12,+,47340819,D28 - CR_PRtd,hg38
chr2,-,166308912,D28 - CR_PRtd,hg38
chr17,-,62373350,D28 - CR_PRtd,hg38
chr11,+,66111491,D28 - CR_PRtd,hg38
chr6,-,32162783,D28 - CR_PRtd,hg38
chr10,+,16743794,D28 - CR_PRtd,hg38
chr8,-,144836408,D28 - CR_PRtd,hg38
chr16,+,21171964,D28 - CR_PRtd,hg38
chr19,+,46764563,D28 - CR_PRtd,hg38
chr6,-,277080,D28 - CR_PRtd,hg38
chr19,+,57799951,D28 - CR_PRtd,hg38
chr14,+,58502285,D28 - CR_PRtd,hg38
chr6,+,87550287,D28 - CR_PRtd,hg38
chr13,+,37047906,D28 - CR_PRtd,hg38
chr5,+,176918320,D28 - CR_PRtd,hg38
chr1,-,224419284,D28 - CR_PRtd,hg38
chr1,+,44288753,D28 - CR_PRtd,hg38
chr9,-,8013856,D28 - CR_PRtd,hg38
chr6,+,34849428,D28 - CR_PRtd,hg38
chr12,+,104468527,D28 - CR_PRtd,hg38
chr10,-,130815315,D28 - CR_PRtd,hg38
chr11,+,38847127,D28 - CR_PRtd,hg38
chr1,+,1483389,D28 - CR_PRtd,hg38
chr19,+,49483921,D28 - CR_PRtd,hg38
chr5,+,123560312,D28 - CR_PRtd,hg38
chr11,-,125930911,D28 - CR_PRtd,hg38
chr10,+,14829856,D28 - CR_PRtd,hg38
chr6,-,69710781,D28 - CR_PRtd,hg38
chr17,+,42232154,D28 - CR_PRtd,hg38
chr9,-,71908189,D28 - CR_PRtd,hg38
chr17,+,2312125,D28 - CR_PRtd,hg38
chr2,+,61269677,D28 - CR_PRtd,hg38
chr2,-,105047480,D28 - CR_PRtd,hg38
chr6,+,27467373,D28 - CR_PRtd,hg38
chr19,+,41948641,D28 - CR_PRtd,hg38
chr17,-,16445068,D28 - CR_PRtd,hg38
chrX,+,97426443,D28 - CR_PRtd,hg38
chr17,+,35424489,D28 - CR_PRtd,hg38
chr10,+,91278777,D28 - CR_PRtd,hg38
chr3,+,114652856,D28 - CR_PRtd,hg38
chr16,-,31186561,D28 - CR_PRtd,hg38
chr6,+,53647994,D28 - CR_PRtd,hg38
chr11,-,9857713,D28 - CR_PRtd,hg38
chr11,-,63854985,D28 - CR_PRtd,hg38
chr17,+,59717731,D28 - CR_PRtd,hg38
chr2,-,73764317,D28 - CR_PRtd,hg38
chr3,+,169671263,D28 - CR_PRtd,hg38
chr6,-,13159934,D28 - CR_PRtd,hg38
chr16,+,2515990,D28 - CR_PRtd,hg38
chr7,-,87827448,D28 - CR_PRtd,hg38
chr10,+,72316405,D28 - CR_PRtd,hg38
chr22,+,30165818,D28 - CR_PRtd,hg38
chr3,+,52921073,D28 - CR_PRtd,hg38
chr12,-,79911532,D28 - CR_PRtd,hg38
chr19,+,14439710,D28 - CR_PRtd,hg38
chr11,+,12933965,D28 - CR_PRtd,hg38
chr3,+,122498644,D28 - CR_PRtd,hg38
chr12,-,50670820,D28 - CR_PRtd,hg38
chr13,+,72933460,D28 - CR_PRtd,hg38
chr15,+,88687056,D28 - CR_PRtd,hg38
chr2,-,64127125,D28 - CR_PRtd,hg38
chr16,-,1684453,D28 - CR_PRtd,hg38
chr16,+,89769814,D28 - CR_PRtd,hg38
chr16,+,69651173,D28 - CR_PRtd,hg38
chr7,-,131216182,D28 - CR_PRtd,hg38
chr11,+,72070615,D28 - CR_PRtd,hg38
chr3,+,47830540,D28 - CR_PRtd,hg38
chr1,+,40392358,D28 - CR_PRtd,hg38
chr6,+,116788303,D28 - CR_PRtd,hg38
chr9,-,33306379,D28 - CR_PRtd,hg38
chr4,-,42617837,D28 - CR_PRtd,hg38
chr2,-,108797119,D28 - CR_PRtd,hg38
chr8,+,110029029,D28 - CR_PRtd,hg38
chr6,-,127569774,D28 - CR_PRtd,hg38
chr17,-,10744293,D28 - CR_PRtd,hg38
chr17,+,1390631,D28 - CR_PRtd,hg38
chr3,-,197107077,D28 - CR_PRtd,hg38
chr1,-,24530731,D28 - CR_PRtd,hg38
chrX,+,17209606,D28 - CR_PRtd,hg38
chr12,+,116830708,D28 - CR_PRtd,hg38
chr3,+,47721717,D28 - CR_PRtd,hg38
chr8,+,7950553,D28 - CR_PRtd,hg38
chr2,-,31746899,D28 - CR_PRtd,hg38
chr19,+,49324618,D28 - CR_PRtd,hg38
chr2,+,232063574,D28 - CR_PRtd,hg38
chr11,+,66760514,D28 - CR_PRtd,hg38
chr2,-,61531315,D28 - CR_PRtd,hg38
chr8,-,81009560,D28 - CR_PRtd,hg38
chr17,+,59805029,D28 - CR_PRtd,hg38
chr16,+,48561177,D28 - CR_PRtd,hg38
chr15,+,59091492,D28 - CR_PRtd,hg38
chr11,-,118599167,D28 - CR_PRtd,hg38
chr8,+,97687788,D28 - CR_PRtd,hg38
chr9,+,81561894,D28 - CR_PRtd,hg38
chr8,+,144303689,D28 - CR_PRtd,hg38
chr16,+,602928,D28 - CR_PRtd,hg38
chr3,-,47690795,D28 - CR_PRtd,hg38
chr17,+,82167913,D28 - CR_PRtd,hg38
chr22,-,25286205,D28 - CR_PRtd,hg38
chr3,-,98761399,D28 - CR_PRtd,hg38
chr3,+,188740384,D28 - CR_PRtd,hg38
chr4,-,122240492,D28 - CR_PRtd,hg38
chr21,-,29528174,D28 - CR_PRtd,hg38
chr10,+,32038580,D28 - CR_PRtd,hg38
chr20,-,50968873,D28 - CR_PRtd,hg38
chr13,+,75608028,D28 - CR_PRtd,hg38
chr9,-,65672711,D28 - CR_PRtd,hg38
chr20,+,29486795,D28 - CR_PRtd,hg38
chr3,+,71018980,D28 - CR_PRtd,hg38
chr2,+,186655992,D28 - CR_PRtd,hg38
chr7,+,2565855,D28 - CR_PRtd,hg38
chr20,-,41171378,D28 - CR_PRtd,hg38
chr3,+,197159848,D28 - CR_PRtd,hg38
chr16,+,53163990,D28 - CR_PRtd,hg38
chr5,-,81841727,D28 - CR_PRtd,hg38
chr4,+,169580067,D28 - CR_PRtd,hg38
chr4,+,121187891,D28 - CR_PRtd,hg38
chr1,-,35632250,D28 - CR_PRtd,hg38
chr21,+,20158676,D28 - CR_PRtd,hg38
chr17,+,76207903,D28 - CR_PRtd,hg38
chr6,-,97073064,D28 - CR_PRtd,hg38
chr20,+,37087683,D28 - CR_PRtd,hg38
chr1,-,86649836,D28 - CR_PRtd,hg38
chrX,-,77662548,D28 - CR_PRtd,hg38
chr11,+,67075156,D28 - CR_PRtd,hg38
chr5,+,93216854,D28 - CR_PRtd,hg38
chr15,+,45022189,D28 - CR_PRtd,hg38
chr8,-,144228459,D28 - CR_PRtd,hg38
chr3,-,25615978,D28 - CR_PRtd,hg38
chr10,+,17154925,D28 - CR_PRtd,hg38
chr17,-,61724055,D28 - CR_PRtd,hg38
chr16,-,10512381,D28 - CR_PRtd,hg38
chr9,+,137088483,D28 - CR_PRtd,hg38
chr8,+,26440046,D28 - CR_PRtd,hg38
chr17,+,44403682,D28 - CR_PRtd,hg38
chr3,+,144190299,D28 - CR_PRtd,hg38
chr19,+,1359800,D28 - CR_PRtd,hg38
chr12,-,59602267,D28 - CR_PRtd,hg38
chr16,+,20771601,D28 - CR_PRtd,hg38
chr19,+,1359508,D28 - CR_PRtd,hg38
chr5,+,94049496,D28 - CR_PRtd,hg38
chr18,+,60499396,D28 - CR_PRtd,hg38
chr21,+,44868813,D28 - CR_PRtd,hg38
chr14,-,98036388,D28 - CR_PRtd,hg38
chr10,-,8812477,D28 - CR_PRtd,hg38
chr4,-,139836887,D28 - CR_PRtd,hg38
chrX,-,30878896,D28 - CR_PRtd,hg38
chr3,+,38432396,D28 - CR_PRtd,hg38
chr18,+,62370886,D28 - CR_PRtd,hg38
chr2,-,130177713,D28 - CR_PRtd,hg38
chr19,+,35738460,D28 - CR_PRtd,hg38
chr20,+,35640915,D28 - CR_PRtd,hg38
chr4,-,108099094,D28 - CR_PRtd,hg38
chr5,+,50705583,D28 - CR_PRtd,hg38
chr16,+,30479795,D28 - CR_PRtd,hg38
chr4,+,139017420,D28 - CR_PRtd,hg38
chr13,-,95051642,D28 - CR_PRtd,hg38
chr12,+,9540741,D28 - CR_PRtd,hg38
chr14,-,50852070,D28 - CR_PRtd,hg38
chr1,+,8516466,D28 - CR_PRtd,hg38
chr1,-,97914213,D28 - CR_PRtd,hg38
chr2,-,230040442,D28 - CR_PRtd,hg38
chr9,+,9954166,D28 - CR_PRtd,hg38
chr7,+,50235606,D28 - CR_PRtd,hg38
chr12,+,53468669,D28 - CR_PRtd,hg38
chr2,-,88037868,D28 - CR_PRtd,hg38
chr4,-,9447632,D28 - CR_PRtd,hg38
chr2,-,144251171,D28 - CR_PRtd,hg38
chr4,+,51912482,D28 - CR_PRtd,hg38
chr3,+,136496618,D28 - CR_PRtd,hg38
chr19,-,57891396,D28 - CR_PRtd,hg38
chr1,+,23765598,D28 - CR_PRtd,hg38
chr19,+,6577624,D28 - CR_PRtd,hg38
chr4,-,15126653,D28 - CR_PRtd,hg38
chr3,-,101765787,D28 - CR_PRtd,hg38
chr1,-,174272770,D28 - CR_PRtd,hg38
chr8,+,144513471,D28 - CR_PRtd,hg38
chr4,-,26917328,D28 - CR_PRtd,hg38
chr13,+,89467256,D28 - CR_PRtd,hg38
chr10,+,31855891,D28 - CR_PRtd,hg38
chr2,+,203133629,D28 - CR_PRtd,hg38
chr10,+,133493368,D28 - CR_PRtd,hg38
chr13,+,48320629,D28 - CR_PRtd,hg38
chr15,+,69541640,D28 - CR_PRtd,hg38
chr12,-,54951439,D28 - CR_PRtd,hg38
chr15,+,42327095,D28 - CR_PRtd,hg38
chr19,-,2198007,D28 - CR_PRtd,hg38
chr9,+,128955973,D28 - CR_PRtd,hg38
chr7,+,27769004,D28 - CR_PRtd,hg38
chr12,-,120539876,D28 - CR_PRtd,hg38
chr19,-,45267278,D28 - CR_PRtd,hg38
chr1,-,944063,D28 - CR_PRtd,hg38
chr7,-,37939200,D28 - CR_PRtd,hg38
chr5,+,10362730,D28 - CR_PRtd,hg38
chr15,+,89273819,D28 - CR_PRtd,hg38
chr19,+,43759876,D28 - CR_PRtd,hg38
chr17,+,7344744,D28 - CR_PRtd,hg38
chr14,-,68494271,D28 - CR_PRtd,hg38
chr4,-,152531727,D28 - CR_PRtd,hg38
chr17,-,5207727,D28 - CR_PRtd,hg38
chr13,-,94604038,D28 - CR_PRtd,hg38
chr22,+,30007003,D28 - CR_PRtd,hg38
chr1,-,29002538,D28 - CR_PRtd,hg38
chr10,-,27039967,D28 - CR_PRtd,hg38
chr20,-,36768479,D28 - CR_PRtd,hg38
chr7,-,23744417,D28 - CR_PRtd,hg38
chr1,-,45674927,D28 - CR_PRtd,hg38
chr13,+,81957708,D28 - CR_PRtd,hg38
chrX,+,154068698,D28 - CR_PRtd,hg38
chr19,-,52669913,D28 - CR_PRtd,hg38
chr7,-,139141635,D28 - CR_PRtd,hg38
chr14,-,72550070,D28 - CR_PRtd,hg38
chr2,-,214710988,D28 - CR_PRtd,hg38
chr4,+,150969866,D28 - CR_PRtd,hg38
chr16,-,87666617,D28 - CR_PRtd,hg38
chr15,+,35479921,D28 - CR_PRtd,hg38
chr11,+,71947368,D28 - CR_PRtd,hg38
chr5,+,165185649,D28 - CR_PRtd,hg38
chr8,+,25436567,D28 - CR_PRtd,hg38
chr9,-,129911500,D28 - CR_PRtd,hg38
chr19,+,49824953,D28 - CR_PRtd,hg38
chr4,-,69753686,D28 - CR_PRtd,hg38
chr12,-,56625441,D28 - CR_PRtd,hg38
chr17,-,4014552,D28 - CR_PRtd,hg38
chr3,-,60028604,D28 - CR_PRtd,hg38
chr19,+,49107470,D28 - CR_PRtd,hg38
chr4,-,90310972,D28 - CR_PRtd,hg38
chr19,+,49904581,D28 - CR_PRtd,hg38
chr14,-,69060982,D28 - CR_PRtd,hg38
chr19,+,12278500,D28 - CR_PRtd,hg38
chr20,+,54470653,D28 - CR_PRtd,hg38
chr6,+,33700818,D28 - CR_PRtd,hg38
chr10,-,63413607,D28 - CR_PRtd,hg38
chr5,-,179136688,D28 - CR_PRtd,hg38
chr17,-,42374820,D28 - CR_PRtd,hg38
chr20,+,55815642,D28 - CR_PRtd,hg38
chr19,+,5631291,D28 - CR_PRtd,hg38
chr14,+,66827734,D28 - CR_PRtd,hg38
chr17,+,2287544,D28 - CR_PRtd,hg38
chr16,+,47614207,D28 - CR_PRtd,hg38
chr6,-,21616681,D28 - CR_PRtd,hg38
chr14,-,83995787,D28 - CR_PRtd,hg38
chr14,+,24641656,D28 - CR_PRtd,hg38
chr17,+,29505755,D28 - CR_PRtd,hg38
chr12,+,58594352,D28 - CR_PRtd,hg38
chr1,+,149796881,D28 - CR_PRtd,hg38
chr4,+,150714200,D28 - CR_PRtd,hg38
chr17,+,35677514,D28 - CR_PRtd,hg38
chr18,+,64564494,D28 - CR_PRtd,hg38
chr6,-,42664834,D28 - CR_PRtd,hg38
chr15,-,68130984,D28 - CR_PRtd,hg38
chr3,-,110352870,D28 - CR_PRtd,hg38
chr17,+,75362212,D28 - CR_PRtd,hg38
chr2,-,201044643,D28 - CR_PRtd,hg38
chr4,+,54890978,D28 - CR_PRtd,hg38
chr5,-,60642613,D28 - CR_PRtd,hg38
chr7,+,27287860,D28 - CR_PRtd,hg38
chr11,+,16513431,D28 - CR_PRtd,hg38
chr3,-,185912239,D28 - CR_PRtd,hg38
chr1,+,84157362,D28 - CR_PRtd,hg38
chr14,-,19918492,D28 - CR_PRtd,hg38
chr19,-,25617717,D28 - CR_PRtd,hg38
chr3,+,111566490,D28 - CR_PRtd,hg38
chr2,+,45443829,D28 - CR_PRtd,hg38
chr10,+,28549799,D28 - CR_PRtd,hg38
chr7,+,25119502,D28 - CR_PRtd,hg38
chr1,-,244927527,D28 - CR_PRtd,hg38
chr21,+,46491539,D28 - CR_PRtd,hg38
chr13,+,88791306,D28 - CR_PRtd,hg38
chr6,+,32576877,D28 - CR_PRtd,hg38
chr8,-,34472025,D28 - CR_PRtd,hg38
chr19,+,21644778,D28 - CR_PRtd,hg38
chr9,+,136822411,D28 - CR_PRtd,hg38
chr17,-,82258833,D28 - CR_PRtd,hg38
chr17,-,2171923,D28 - CR_PRtd,hg38
chr7,-,112467401,D28 - CR_PRtd,hg38
chr4,+,98902967,D28 - CR_PRtd,hg38
chr11,+,64735326,D28 - CR_PRtd,hg38
chr7,+,92142038,D28 - CR_PRtd,hg38
chr19,+,5632663,D28 - CR_PRtd,hg38
chr11,-,87302538,D28 - CR_PRtd,hg38
chr21,-,44863971,D28 - CR_PRtd,hg38
chr12,-,56667139,D28 - CR_PRtd,hg38
chr6,-,42213389,D28 - CR_PRtd,hg38
chr16,+,89757352,D28 - CR_PRtd,hg38
chr2,+,73849604,D28 - CR_PRtd,hg38
chr7,+,68070461,D28 - CR_PRtd,hg38
chr7,-,98370722,D28 - CR_PRtd,hg38
chr6,+,147361051,D28 - CR_PRtd,hg38
chr14,-,52654452,D28 - CR_PRtd,hg38
chr3,+,187773858,D28 - CR_PRtd,hg38
chr11,-,1495534,D28 - CR_PRtd,hg38
chr1,-,1395054,D28 - CR_PRtd,hg38
chr17,+,82166981,D28 - CR_PRtd,hg38
chr11,+,11890669,D28 - CR_PRtd,hg38
chr2,-,85203720,D28 - CR_PRtd,hg38
chr3,-,71337544,D28 - CR_PRtd,hg38
