"loci","gene_name","gene_ort","gene_width","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","TDN_sum_abund","TP_sum_abund","long_count","max_time","max_span","abund_gini","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min","TDN_freq","TP_freq","freq_diff","pct_chg"
"chr4-56338284:56387508","AASDH","-",59.225,0,2,0,2,0,3,0,0.0046189376443418,0,9,3,28,14,0.25,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000774068743535679,0.000000774068743535679,Inf
"chr11+106077564:106098692","AASDHPPT","+",31.129,5,2,7,3,3,1,0.000723589001447178,0.000410004100041,9,3,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000350954676386483,0.00000220907616704202,-0.00000130047059682281,-37.0552291883608
"chr7-122073543:122144290","AASS","-",80.748,1,0,1,0,1,0,0.000217580504786771,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000193279764934201,0,-0.000000193279764934201,-100
"chr17+36948874:37056871","AATF","+",117.998,13,6,13,7,2,2,0.00169779286926995,0.00256410256410256,14,9,1,28,0,0.158730158730159,0.016640866873065,TRUE,FALSE,FALSE,FALSE,0,0.00000171943938003856,0.00000135980927367966,-0.0000003596301063589,-20.9155443648636
"chr17-81117295:81166072","AATK","-",58.778,1,0,1,0,1,0,0.000405186385737439,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000265523741177088,0,-0.000000265523741177088,-100
"chr20+31721506:31723409","ABALON","+",11.904,0,1,0,1,0,1,0,0.05,0,1,1,801,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000192558053326195,0.00000192558053326195,Inf
"chr16+8674586:8784575","ABAT","+",119.99,1,0,1,0,1,0,0.000299311583358276,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000130068792890298,0,-0.000000130068792890298,-100
"chr9-104781002:104928246","ABCA1","-",157.245,1,3,1,4,1,1,0.000428265524625268,0.00301204819277108,1,4,1,28,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.0000000992524688155864,0.000000583092897528069,0.000000483840428712483,487.484527575299
"chr17-69148006:69244815","ABCA10","-",106.81,2,1,2,1,1,1,0.00113636363636364,0.000354233085370174,2,1,1,14,0,0,0.333333333333333,FALSE,FALSE,FALSE,FALSE,0,0.000000292237701692854,0.000000214606410148397,-0.0000000776312915444572,-26.5644340530876
"chr4-425434:474209","ABCA11P","-",58.776,3,4,3,4,2,3,0.00202020202020202,0.0189873417721519,4,10,1,180,0,0.25,0.485714285714286,FALSE,FALSE,FALSE,FALSE,0,0.000000796598328853965,0.00000155996397631348,0.000000763365647459517,95.828175858433
"chr2-214931541:215138428","ABCA12","-",216.888,2,2,2,2,1,1,0.000365764447695684,0.0023094688221709,2,2,1,28,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000143917178072617,0.000000211372788424904,0.0000000674556103522871,46.8711318938248
"chr7+48171459:48647495","ABCA13","+",486.037,0,1,0,1,0,1,0,0.0192307692307692,0,1,1,60,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.0000000471612463000765,0.0000000471612463000765,Inf
"chr16+2340921:2426699","ABCA17P","+",95.779,5,3,7,3,2,1,0.000556018904642758,0.00323624595469256,8,3,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000001140632928015,0.000000717968782341128,-0.000000422664145673867,-37.0552291883608
"chr9-137007233:137028922","ABCA2","-",31.69,2,0,2,0,1,0,0.000908265213442325,0,2,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000984976614635966,0,-0.000000984976614635966,-100
"chr16-2275877:2340746","ABCA3","-",74.87,10,2,15,3,2,1,0.000908265213442325,0.00334448160535117,17,3,1,50,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.00000312681069698949,0.000000918476452569132,-0.00000220833424442036,-70.625773621235
"chr1-93992837:94121149","ABCA4","-",138.313,0,1,0,2,0,1,0,0.00257731958762887,0,2,1,60,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000331452729214901,0.000000331452729214901,Inf
"chr17-69244434:69327182","ABCA5","-",92.749,4,5,5,6,1,1,0.000958772770853308,0.000742390497401633,5,6,1,14,0,0,0.242424242424242,FALSE,FALSE,FALSE,FALSE,0,0.000000841354325055089,0.00000148284794453527,0.000000641493619480182,76.2453582725898
"chr19+1040102:1065571","ABCA7","+",35.47,8,1,9,1,8,1,0.00449101796407186,0.000410004100041,19,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000396003919171587,0.000000646239376034686,-0.00000331379981568119,-83.6809853451306
"chr17-68974631:69060995","ABCA9","-",96.365,0,2,0,2,0,1,0,0.0454545454545455,0,2,1,180,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000475735187421788,0.000000475735187421788,Inf
"chr7-87503862:87713323","ABCB1","-",219.462,2,4,2,4,3,1,0.00105820105820106,0.00497512437810945,4,4,1,360,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000142229219262623,0.000000417787328429529,0.000000275558109166906,193.74226378765
"chr1-229516581:229558695","ABCB10","-",52.115,3,0,3,0,1,0,0.000805152979066023,0,3,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000898414340913761,0,-0.000000898414340913761,-100
"chr2-168922938:169031323","ABCB11","-",118.386,0,1,0,1,0,1,0,0.00128865979381443,0,1,1,28,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000193621802138347,0.000000193621802138347,Inf
"chr7-87402044:87475703","ABCB4","-",83.66,1,0,1,0,1,0,0.000241196333815726,0,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000186552169004385,0,-0.000000186552169004385,-100
"chr7+20615621:20757014","ABCB5","+",151.394,1,1,1,1,1,1,0.000485201358563804,0.000126887450831113,1,1,1,14,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000103088328856539,0.000000151406995442027,0.0000000483186665854883,46.8711318938248
"chr2-219209765:219218990","ABCB6","-",19.226,1,1,1,1,2,1,0.000482392667631452,0.00126903553299492,2,1,1,28,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000811762949074529,0.00000119224543160045,0.000000380482482525924,46.8711318938248
"chrX-75053171:75156340","ABCB7","-",113.17,0,2,0,2,0,1,0,0.00395256916996047,0,2,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000405091643862336,0.000000405091643862336,Inf
"chr7+151028421:151047782","ABCB8","+",29.362,1,1,1,1,1,1,0.000495785820525533,0.00218340611353712,1,1,1,270,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000531535810193682,0.000000780672660852473,0.000000249136850658791,46.8711318938248
"chr12-122920950:122966509","ABCB9","-",55.56,1,0,1,0,1,0,0.000294464075382803,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000028090270804368,0,-0.00000028090270804368,-100
"chr16+15949576:16143073","ABCC1","+",203.498,5,7,7,11,1,2,0.00113636363636364,0.00222222222222222,7,12,1,21,0,0.0757575757575757,0.0497737556561086,TRUE,FALSE,FALSE,FALSE,0,0.000000536853832530778,0.00000123904518642666,0.000000702191353895887,130.79749297601
"chr6+43427553:43450425","ABCC10","+",32.873,1,2,1,2,1,1,0.000805152979066023,0.00598802395209581,1,2,1,28,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000474765140355516,0.00000139458587095491,0.000000919820730599389,193.74226378765
"chr21+14273798:14301371","ABCC13","+",37.574,1,0,1,0,1,0,0.000241196333815726,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000415365797064643,0,-0.000000415365797064643,-100
"chr10+99782597:99852192","ABCC2","+",79.596,1,1,1,1,1,1,0.000495049504950495,0.000360880548538434,1,1,1,13,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000196077120193312,0.000000287980685812733,0.0000000919035656194208,46.8711318938248
"chr17+50634856:50691702","ABCC3","+",66.847,0,1,0,1,0,2,0,0.000126582278481013,0,2,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000342904104416807,0.000000342904104416807,Inf
"chr13-95019828:95301446","ABCC4","-",291.619,5,4,7,6,2,5,0.000991571641051066,0.0114942528735632,8,18,3,180,46,0.333333333333333,0.592074592074592,FALSE,FALSE,FALSE,FALSE,0,0.000000374628131954188,0.000000471617638108977,0.0000000969895061547896,25.8895416232784
"chr3-183919935:184017960","ABCC5","-",108.026,3,4,3,4,1,2,0.00169779286926995,0.00182315405651778,3,5,1,21,0,0.15,1,FALSE,FALSE,FALSE,FALSE,0,0.000000433422170373065,0.000000848762730007602,0.000000415340559634538,95.828175858433
"chr3+184006337:184011419","ABCC5-AS1","+",15.083,2,2,2,2,1,2,0.00169779286926995,0.00182315405651778,2,3,1,21,0,0.166666666666667,1,FALSE,FALSE,FALSE,FALSE,0,0.00000206947615977019,0.00000303946306012734,0.000000969986900357146,46.8711318938248
"chr16-16149564:16223471","ABCC6","-",83.908,1,0,1,0,1,0,0.000299311583358276,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000186000792044941,0,-0.000000186000792044941,-100
"chr16-14822431:14824702","ABCC6P2","-",12.272,0,1,0,1,0,1,0,0.000126887450831113,0,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000186783822261655,0.00000186783822261655,Inf
"chr11-17392884:17476845","ABCC8","-",93.962,0,1,0,1,0,1,0,0.00584795321637427,0,1,1,60,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000243950859581004,0.000000243950859581004,Inf
"chrX+153724867:153744762","ABCD1","+",29.896,1,1,1,1,1,18,0.000282406099971759,0.00113924050632911,1,18,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000522041559369377,0.000000766728347201977,0.0000002446867878326,46.8711318938248
"chr12-39551219:39620041","ABCD2","-",78.823,9,8,10,25,5,8,0.00120598166907863,0.00434782608695652,16,46,2,28,14,0.35047619047619,1,FALSE,FALSE,FALSE,TRUE,3.65462575351225,0.00000198000005821992,0.00000727012124251497,0.00000529012118429505,267.177829734562
"chr1+94418376:94518663","ABCD3","+",110.288,3,3,3,3,1,3,0.000847457627118644,0.000486736432221952,3,6,1,21,0,0.222222222222222,1,FALSE,FALSE,FALSE,FALSE,0,0.00000042453270869651,0.000000623515994522078,0.000000198983285825568,46.8711318938248
"chr4+145098003:145129524","ABCE1","+",41.522,9,6,10,7,1,1,0.00131752305665349,0.000410004100041,10,7,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000375871934369898,0.00000386433155136198,0.000000105612207663004,2.80979232567736
"chr6+30571392:30591532","ABCF1","+",30.141,15,6,19,14,3,7,0.00202020202020202,0.0050761421319797,23,22,1,28,0,0.302721088435374,0.0366365204494527,FALSE,FALSE,FALSE,FALSE,0,0.0000098381651146024,0.0000106469443399789,0.000000808779225376511,8.2208340270288
"chr7-151207836:151227374","ABCF2","-",29.539,1,0,1,0,1,0,0.000278009452321379,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000528350806016009,0,-0.000000528350806016009,-100
"chr3+184186074:184194007","ABCF3","+",17.934,1,1,1,1,1,1,0.000278009452321379,0.0000632911392405063,1,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000870243919867675,0.00000127813709534684,0.000000407893175479169,46.8711318938248
"chr4-88090263:88231626","ABCG2","-",151.364,2,2,2,2,1,1,0.000365764447695684,0.000265886732252061,2,2,1,21,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000206217521456976,0.000000302874007927252,0.0000000966564864702758,46.8711318938248
"chr11+119149039:119162665","ABCG4","+",23.627,1,1,1,1,1,1,0.000299311583358276,0.00338983050847458,1,1,1,10,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000660555908871498,0.000000970165940151111,0.000000309610031279613,46.8711318938248
"chr2-43812471:43838819","ABCG5","-",36.349,0,1,0,1,0,1,0,0.00598802395209581,0,1,1,28,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000630611864644153,0.000000630611864644153,Inf
"chr3+111978875:111993368","ABHD10","+",24.494,1,4,1,3,1,3,0.000428265524625268,0.0204081632653061,1,7,2,1584,1,0.25,1,FALSE,FALSE,FALSE,FALSE,0,0.000000637174592100387,0.0000028074766066731,0.00000217030201457271,340.613395681474
"chr7-73736094:73738867","ABHD11","-",12.774,1,0,1,0,1,0,0.000722021660649819,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000122177504766768,0,-0.00000122177504766768,-100
"chr7+73735068:73736000","ABHD11-AS1","+",10.933,1,0,1,0,1,0,0.000722021660649819,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000142750886846308,0,-0.00000142750886846308,-100
"chr20-25294742:25390982","ABHD12","-",106.241,2,1,2,1,1,1,0.00166112956810631,0.0000632911392405063,2,1,1,14,0,0,0.333333333333333,FALSE,FALSE,FALSE,FALSE,0,0.000000293802853115217,0.000000215755787953335,-0.0000000780470651618817,-26.5644340530876
"chr13+108218414:108234255","ABHD13","+",25.842,3,1,3,1,1,1,0.000477326968973747,0.000243368216110976,3,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000181181268387589,0.000000887009932201467,-0.00000092480275167442,-51.0429560353917
"chr3+51975025:51981200","ABHD14A","+",16.176,1,0,1,0,1,0,0.000958772770853308,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000964821615906707,0,-0.000000964821615906707,-100
"chr3+51975025:51989202","ABHD14A-ACY1","+",24.178,1,0,1,0,1,0,0.000958772770853308,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000645502293775618,0,-0.000000645502293775618,-100
"chr6-31686948:31703360","ABHD16A","-",26.413,13,6,18,7,2,6,0.00113636363636364,0.020066889632107,20,13,1,28,0,0.373626373626374,0.378260869565217,FALSE,FALSE,FALSE,FALSE,0,0.0000106358679536715,0.00000607484097511272,-0.00000456102697855873,-42.883448707957
"chr20+63861212:63862988","ABHD16B","+",11.777,1,1,1,1,1,1,0.000908265213442325,0.000410004100041,1,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000132520628843567,0.00000194634547575361,0.000000621139187317943,46.8711318938248
"chr19-1876975:1885519","ABHD17A","-",18.545,1,1,2,1,1,2,0.000282406099971759,0.000253774901662226,2,2,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000168314418537686,0.00000123602645823404,-0.000000447117727142813,-26.5644340530876
"chr9-71862451:71911245","ABHD17B","-",58.795,3,2,4,4,1,3,0.000495785820525533,0.00230591852421214,4,7,1,28,0,0.25,0.428571428571429,FALSE,FALSE,FALSE,FALSE,0,0.00000106178787032278,0.0000015594598634544,0.000000497671993131621,46.8711318938248
"chr15+80695310:80755621","ABHD17C","+",70.312,1,1,1,1,1,1,0.000217580504786771,0.00087260034904014,1,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000221967152959763,0.000000326005669984502,0.000000104038517024739,46.8711318938248
"chr4+127965255:128039711","ABHD18","+",84.457,0,5,0,6,0,1,0,0.0125,0,6,1,442,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000162843416185398,0.00000162843416185398,Inf
"chr15+89088149:89202360","ABHD2","+",124.212,2,3,2,3,1,1,0.000282406099971759,0.010989010989011,2,3,1,270,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.00000025129543778229,0.000000553620680802587,0.000000302325243020297,120.306697840737
"chr18-21650896:21704805","ABHD3","-",63.91,0,1,0,1,0,1,0,0.000354233085370174,0,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000358662348113759,0.000000358662348113759,Inf
"chr19-17292130:17303473","ABHD8","-",21.344,1,1,1,1,1,1,0.000282406099971759,0.000410004100041,1,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000731210385068726,0.00000107393696907563,0.000000342726584006906,46.8711318938248
"chr10-26746595:26861087","ABI1","-",124.493,2,3,2,4,1,2,0.000477326968973747,0.00471698113207547,2,7,1,14,0,0.166666666666667,1,TRUE,FALSE,FALSE,FALSE,0,0.000000250728225023204,0.000000736494764137752,0.000000485766539114548,193.74226378765
"chr2+203328238:203432173","ABI2","+",113.936,5,3,5,4,1,2,0.000477326968973747,0.00510204081632653,5,5,1,28,0,0.15,0.523809523809524,FALSE,FALSE,FALSE,FALSE,0,0.000000684900051735487,0.000000804736366660241,0.000000119836314924754,17.4969055150598
"chr17+49210226:49223225","ABI3","+",23,1,0,1,0,1,0,0.000509164969450102,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000678563237343778,0,-0.000000678563237343778,-100
"chr3-100749334:100993490","ABI3BP","-",254.157,1,1,1,1,1,1,0.000722021660649819,0.000243368216110976,1,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000000614067464555644,0.0000000901887835784586,0.0000000287820371228942,46.8711318938248
"chr9+130713880:130887675","ABL1","+",183.796,9,5,10,12,1,4,0.000958772770853308,0.00898876404494382,11,16,1,60,0,0.21875,0.0995327192661961,TRUE,FALSE,FALSE,FALSE,0,0.000000849145490593206,0.00000149657951215154,0.00000064743402155833,76.2453582725897
"chr1-179099326:179229684","ABL2","-",140.359,4,1,4,2,1,1,0.000495785820525533,0.000354233085370174,4,2,1,21,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000444772460872673,0.000000326621173817857,-0.000000118151287054816,-26.5644340530876
"chr10-114431109:114768225","ABLIM1","-",347.117,3,4,3,9,1,6,0.000495785820525533,0.00230591852421214,3,20,2,28,14,0.366013071895425,0.0454545454545455,FALSE,FALSE,FALSE,FALSE,0,0.000000134884962063859,0.000000594321211613239,0.00000045943624954938,340.613395681474
"chr4-7965309:8158832","ABLIM2","-",203.524,0,1,0,1,0,1,0,0.00429184549356223,0,1,1,360,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000112626081778809,0.000000112626081778809,Inf
"chr9-133255175:133275214","ABO","-",30.04,0,1,0,1,0,3,0,0.000189873417721519,0,3,1,14,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0,0.000000763052951662793,0.000000763052951662793,Inf
"chr17-1003517:1229680","ABR","-",236.164,6,3,6,3,1,1,0.000958772770853308,0.00222222222222222,6,3,1,14,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000396511435923516,0.000000291180417014663,-0.000000105331018908853,-26.5644340530876
"chr11-34150986:34358008","ABTB2","-",217.023,1,1,1,1,1,1,0.000509164969450102,0.00671140939597315,1,1,1,1095,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.0000000719138269165337,0.000000105620651580479,0.0000000337068246639454,46.8711318938248
"chr3-38122709:38137242","ACAA1","-",24.534,0,1,0,1,0,1,0,0.0036101083032491,0,1,1,17,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000934299774514971,0.000000934299774514971,Inf
"chr18-49783503:49813881","ACAA2","-",40.379,0,3,0,3,0,4,0,0.000742390497401633,0,7,1,14,0,0.285714285714286,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000170302216508212,0.00000170302216508212,Inf
"chr17-37084991:37406811","ACACA","-",331.821,11,9,18,20,3,3,0.00216606498194946,0.00598802395209581,24,25,1,90,0,0.165999999999999,1,FALSE,FALSE,FALSE,FALSE,0,0.000000846616640478824,0.00000138159493630303,0.000000534978295824201,63.1901465486942
"chr12+109139396:109268225","ACACB","+",138.83,4,2,4,2,1,5,0.00149700598802395,0.00384319754035357,4,7,2,28,14,0.333333333333333,0.466666666666667,FALSE,FALSE,FALSE,FALSE,0,0.000000449670948898852,0.000000330218406222723,-0.000000119452542676129,-26.5644340530876
"chr12+111686052:111757107","ACAD10","+",81.056,4,0,4,0,1,0,0.000495049504950495,0,4,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000007701813293973,0,-0.0000007701813293973,-100
"chr3-132558137:132660131","ACAD11","-",111.995,4,4,5,5,2,5,0.000482392667631452,0.0021505376344086,6,9,1,14,0,0.355555555555556,0.523809523809524,FALSE,FALSE,FALSE,FALSE,0,0.000000696770144154064,0.00000102335419741731,0.000000326584053263245,46.8711318938248
"chr11+134253539:134265852","ACAD8","+",22.314,0,1,0,1,0,1,0,0.000360880548538434,0,1,1,13,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000102725242753206,0.00000102725242753206,Inf
"chr3+128879489:128913114","ACAD9","+",43.626,3,1,3,1,1,1,0.000847457627118644,0.000311720698254364,3,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000107323301189017,0.000000525423157473761,-0.000000547809854416411,-51.0429560353917
"chr2-210187991:210225491","ACADL","-",47.501,0,1,0,1,0,1,0,0.000911577028258888,0,1,1,21,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000482560591733865,0.000000482560591733865,Inf
"chr1+75724346:75763678","ACADM","+",49.333,3,2,3,2,1,1,0.000428265524625268,0.000742390497401633,3,2,1,14,0,0,1,TRUE,FALSE,FALSE,FALSE,0,0.000000949077967622497,0.000000929281035734713,-0.0000000197969318877842,-2.08591207078348
"chr12+120725737:120740008","ACADS","+",24.272,0,1,0,1,0,1,0,0.00126903553299492,0,1,1,28,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000944384915456094,0.000000944384915456094,Inf
"chr10+123008912:123058290","ACADSB","+",59.379,1,1,1,1,1,1,0.000722021660649819,0.00176991150442478,1,1,1,90,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000026283626297019,0.000000386030594451747,0.000000123194331481558,46.8711318938248
"chr17+7217124:7225267","ACADVL","+",18.144,2,0,2,0,1,0,0.000477326968973747,0,2,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000172034330455323,0,-0.00000172034330455323,-100
